name,manufacturer,device_type,role,site,location,rack,position,face,status,cluster,description
EMEA-DC-ONPREM-ESX-MGT01,Cisco Systems,UCS C240 M6,Server,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,EMEA-DC-ONPREM-SRV-A-R05,13,front,active,EMEA-DC-ONPREM-MGMT-CLUSTER,"VMware ESXi host - Management cluster (vCenter, NSX, etc.)"
EMEA-DC-ONPREM-ESX-MGT02,Cisco Systems,UCS C240 M6,Server,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,EMEA-DC-ONPREM-SRV-A-R06,15,front,active,EMEA-DC-ONPREM-MGMT-CLUSTER,"VMware ESXi host - Management cluster (vCenter, NSX, etc.)"
EMEA-DC-ONPREM-ESX-MGT03,Cisco Systems,UCS C240 M6,Server,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,EMEA-DC-ONPREM-SRV-A-R01,17,front,active,EMEA-DC-ONPREM-MGMT-CLUSTER,"VMware ESXi host - Management cluster (vCenter, NSX, etc.)"
APAC-DC-ONPREM-ESX-A01,Dell Technologies,PowerEdge R750,Server,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall A,APAC-DC-ONPREM-SRV-A-R05,1,front,active,APAC-DC-ONPREM-COMPUTE-CLUSTER,VMware ESXi host - Compute cluster (Server Hall A)
APAC-DC-ONPREM-ESX-A02,Dell Technologies,PowerEdge R750,Server,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall A,APAC-DC-ONPREM-SRV-A-R06,3,front,active,APAC-DC-ONPREM-COMPUTE-CLUSTER,VMware ESXi host - Compute cluster (Server Hall A)
APAC-DC-ONPREM-ESX-A03,Dell Technologies,PowerEdge R750,Server,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall A,APAC-DC-ONPREM-SRV-A-R01,5,front,active,APAC-DC-ONPREM-COMPUTE-CLUSTER,VMware ESXi host - Compute cluster (Server Hall A)
APAC-DC-ONPREM-ESX-A04,Dell Technologies,PowerEdge R750,Server,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall A,APAC-DC-ONPREM-SRV-A-R02,7,front,active,APAC-DC-ONPREM-COMPUTE-CLUSTER,VMware ESXi host - Compute cluster (Server Hall A)
APAC-DC-ONPREM-ESX-A05,Hewlett Packard Enterprise,ProLiant DL380 Gen10,Server,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall A,APAC-DC-ONPREM-SRV-A-R03,9,front,active,APAC-DC-ONPREM-COMPUTE-CLUSTER,VMware ESXi host - Compute cluster (Server Hall A)
APAC-DC-ONPREM-ESX-A06,Hewlett Packard Enterprise,ProLiant DL380 Gen10,Server,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall A,APAC-DC-ONPREM-SRV-A-R04,11,front,active,APAC-DC-ONPREM-COMPUTE-CLUSTER,VMware ESXi host - Compute cluster (Server Hall A)
APAC-DC-ONPREM-ESX-B01,Dell Technologies,PowerEdge R750,Server,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall B,APAC-DC-ONPREM-SRV-B-R05,1,front,active,APAC-DC-ONPREM-STORAGE-CLUSTER,VMware ESXi host - Storage/vSAN cluster (Server Hall B)
APAC-DC-ONPREM-ESX-B02,Dell Technologies,PowerEdge R750,Server,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall B,APAC-DC-ONPREM-SRV-B-R06,3,front,active,APAC-DC-ONPREM-STORAGE-CLUSTER,VMware ESXi host - Storage/vSAN cluster (Server Hall B)
APAC-DC-ONPREM-ESX-B03,Dell Technologies,PowerEdge R750,Server,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall B,APAC-DC-ONPREM-SRV-B-R01,5,front,active,APAC-DC-ONPREM-STORAGE-CLUSTER,VMware ESXi host - Storage/vSAN cluster (Server Hall B)
APAC-DC-ONPREM-ESX-B04,Dell Technologies,PowerEdge R750,Server,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall B,APAC-DC-ONPREM-SRV-B-R02,7,front,active,APAC-DC-ONPREM-STORAGE-CLUSTER,VMware ESXi host - Storage/vSAN cluster (Server Hall B)
APAC-DC-ONPREM-ESX-MGT01,Cisco Systems,UCS C240 M6,Server,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall A,APAC-DC-ONPREM-SRV-A-R05,13,front,active,APAC-DC-ONPREM-MGMT-CLUSTER,"VMware ESXi host - Management cluster (vCenter, NSX, etc.)"
APAC-DC-ONPREM-ESX-MGT02,Cisco Systems,UCS C240 M6,Server,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall A,APAC-DC-ONPREM-SRV-A-R06,15,front,active,APAC-DC-ONPREM-MGMT-CLUSTER,"VMware ESXi host - Management cluster (vCenter, NSX, etc.)"
APAC-DC-ONPREM-ESX-MGT03,Cisco Systems,UCS C240 M6,Server,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall A,APAC-DC-ONPREM-SRV-A-R01,17,front,active,APAC-DC-ONPREM-MGMT-CLUSTER,"VMware ESXi host - Management cluster (vCenter, NSX, etc.)"
AMER-DC-ONPREM-ESX-A01,Dell Technologies,PowerEdge R750,Server,AMER-DC-ONPREM,AMER-DC-ONPREM-Server Hall A,AMER-DC-ONPREM-SRV-A-R05,1,front,active,AMER-DC-ONPREM-COMPUTE-CLUSTER,VMware ESXi host - Compute cluster (Server Hall A)
AMER-DC-ONPREM-ESX-A02,Dell Technologies,PowerEdge R750,Server,AMER-DC-ONPREM,AMER-DC-ONPREM-Server Hall A,AMER-DC-ONPREM-SRV-A-R06,3,front,active,AMER-DC-ONPREM-COMPUTE-CLUSTER,VMware ESXi host - Compute cluster (Server Hall A)
AMER-DC-ONPREM-ESX-A03,Dell Technologies,PowerEdge R750,Server,AMER-DC-ONPREM,AMER-DC-ONPREM-Server Hall A,AMER-DC-ONPREM-SRV-A-R01,5,front,active,AMER-DC-ONPREM-COMPUTE-CLUSTER,VMware ESXi host - Compute cluster (Server Hall A)
AMER-DC-ONPREM-ESX-A04,Dell Technologies,PowerEdge R750,Server,AMER-DC-ONPREM,AMER-DC-ONPREM-Server Hall A,AMER-DC-ONPREM-SRV-A-R02,7,front,active,AMER-DC-ONPREM-COMPUTE-CLUSTER,VMware ESXi host - Compute cluster (Server Hall A)
AMER-DC-ONPREM-ESX-A05,Hewlett Packard Enterprise,ProLiant DL380 Gen10,Server,AMER-DC-ONPREM,AMER-DC-ONPREM-Server Hall A,AMER-DC-ONPREM-SRV-A-R03,9,front,active,AMER-DC-ONPREM-COMPUTE-CLUSTER,VMware ESXi host - Compute cluster (Server Hall A)
AMER-DC-ONPREM-ESX-A06,Hewlett Packard Enterprise,ProLiant DL380 Gen10,Server,AMER-DC-ONPREM,AMER-DC-ONPREM-Server Hall A,AMER-DC-ONPREM-SRV-A-R04,11,front,active,AMER-DC-ONPREM-COMPUTE-CLUSTER,VMware ESXi host - Compute cluster (Server Hall A)
AMER-DC-ONPREM-ESX-B01,Dell Technologies,PowerEdge R750,Server,AMER-DC-ONPREM,AMER-DC-ONPREM-Server Hall B,AMER-DC-ONPREM-SRV-B-R05,1,front,active,AMER-DC-ONPREM-STORAGE-CLUSTER,VMware ESXi host - Storage/vSAN cluster (Server Hall B)
AMER-DC-ONPREM-ESX-B02,Dell Technologies,PowerEdge R750,Server,AMER-DC-ONPREM,AMER-DC-ONPREM-Server Hall B,AMER-DC-ONPREM-SRV-B-R06,3,front,active,AMER-DC-ONPREM-STORAGE-CLUSTER,VMware ESXi host - Storage/vSAN cluster (Server Hall B)
AMER-DC-ONPREM-ESX-B03,Dell Technologies,PowerEdge R750,Server,AMER-DC-ONPREM,AMER-DC-ONPREM-Server Hall B,AMER-DC-ONPREM-SRV-B-R01,5,front,active,AMER-DC-ONPREM-STORAGE-CLUSTER,VMware ESXi host - Storage/vSAN cluster (Server Hall B)
AMER-DC-ONPREM-ESX-B04,Dell Technologies,PowerEdge R750,Server,AMER-DC-ONPREM,AMER-DC-ONPREM-Server Hall B,AMER-DC-ONPREM-SRV-B-R02,7,front,active,AMER-DC-ONPREM-STORAGE-CLUSTER,VMware ESXi host - Storage/vSAN cluster (Server Hall B)
AMER-DC-ONPREM-ESX-MGT01,Cisco Systems,UCS C240 M6,Server,AMER-DC-ONPREM,AMER-DC-ONPREM-Server Hall A,AMER-DC-ONPREM-SRV-A-R05,13,front,active,AMER-DC-ONPREM-MGMT-CLUSTER,"VMware ESXi host - Management cluster (vCenter, NSX, etc.)"
AMER-DC-ONPREM-ESX-MGT02,Cisco Systems,UCS C240 M6,Server,AMER-DC-ONPREM,AMER-DC-ONPREM-Server Hall A,AMER-DC-ONPREM-SRV-A-R06,15,front,active,AMER-DC-ONPREM-MGMT-CLUSTER,"VMware ESXi host - Management cluster (vCenter, NSX, etc.)"
AMER-DC-ONPREM-ESX-MGT03,Cisco Systems,UCS C240 M6,Server,AMER-DC-ONPREM,AMER-DC-ONPREM-Server Hall A,AMER-DC-ONPREM-SRV-A-R01,17,front,active,AMER-DC-ONPREM-MGMT-CLUSTER,"VMware ESXi host - Management cluster (vCenter, NSX, etc.)"
