name,manufacturer,device_type,role,site,location,rack,position,face,status,description
EMEA-DC-ONPREM-SPINE-A02,Arista Networks,DCS-7280SR-48C6,Spine Switch,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,EMEA-DC-ONPREM-SRV-A-R02,42,front,active,Spine Switch - DCS-7280SR-48C6
EMEA-DC-ONPREM-LEAF-A01,Arista Networks,DCS-7050SX3-48YC12,Leaf Switch,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,EMEA-DC-ONPREM-SRV-A-R03,42,front,active,Leaf Switch - DCS-7050SX3-48YC12
EMEA-DC-ONPREM-LEAF-A02,Arista Networks,DCS-7050SX3-48YC12,Leaf Switch,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,EMEA-DC-ONPREM-SRV-A-R04,42,front,active,Leaf Switch - DCS-7050SX3-48YC12
EMEA-DC-ONPREM-ESX-A01,Dell Technologies,PowerEdge R750,Server,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,EMEA-DC-ONPREM-SRV-A-R05,1,front,active,Server - PowerEdge R750
EMEA-DC-ONPREM-ESX-A02,Dell Technologies,PowerEdge R750,Server,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,EMEA-DC-ONPREM-SRV-A-R06,3,front,active,Server - PowerEdge R750
EMEA-DC-ONPREM-ESX-A03,Dell Technologies,PowerEdge R750,Server,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,EMEA-DC-ONPREM-SRV-A-R01,5,front,active,Server - PowerEdge R750
EMEA-DC-ONPREM-ESX-A04,Dell Technologies,PowerEdge R750,Server,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,EMEA-DC-ONPREM-SRV-A-R02,7,front,active,Server - PowerEdge R750
EMEA-DC-ONPREM-ESX-A05,Hewlett Packard Enterprise,ProLiant DL380 Gen10,Server,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,EMEA-DC-ONPREM-SRV-A-R03,9,front,active,Server - ProLiant DL380 Gen10
EMEA-DC-ONPREM-ESX-A06,Hewlett Packard Enterprise,ProLiant DL380 Gen10,Server,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,EMEA-DC-ONPREM-SRV-A-R04,11,front,active,Server - ProLiant DL380 Gen10
EMEA-DC-ONPREM-SPINE-B01,Arista Networks,DCS-7280SR-48C6,Spine Switch,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall B,EMEA-DC-ONPREM-SRV-B-R01,42,front,active,Spine Switch - DCS-7280SR-48C6
EMEA-DC-ONPREM-SPINE-B02,Arista Networks,DCS-7280SR-48C6,Spine Switch,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall B,EMEA-DC-ONPREM-SRV-B-R02,42,front,active,Spine Switch - DCS-7280SR-48C6
EMEA-DC-ONPREM-LEAF-B01,Arista Networks,DCS-7050SX3-48YC12,Leaf Switch,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall B,EMEA-DC-ONPREM-SRV-B-R03,42,front,active,Leaf Switch - DCS-7050SX3-48YC12
EMEA-DC-ONPREM-LEAF-B02,Arista Networks,DCS-7050SX3-48YC12,Leaf Switch,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall B,EMEA-DC-ONPREM-SRV-B-R04,42,front,active,Leaf Switch - DCS-7050SX3-48YC12
EMEA-DC-ONPREM-ESX-B01,Dell Technologies,PowerEdge R750,Server,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall B,EMEA-DC-ONPREM-SRV-B-R05,1,front,active,Server - PowerEdge R750
EMEA-DC-ONPREM-ESX-B02,Dell Technologies,PowerEdge R750,Server,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall B,EMEA-DC-ONPREM-SRV-B-R06,3,front,active,Server - PowerEdge R750
EMEA-DC-ONPREM-ESX-B03,Dell Technologies,PowerEdge R750,Server,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall B,EMEA-DC-ONPREM-SRV-B-R01,5,front,active,Server - PowerEdge R750
EMEA-DC-ONPREM-ESX-B04,Dell Technologies,PowerEdge R750,Server,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall B,EMEA-DC-ONPREM-SRV-B-R02,7,front,active,Server - PowerEdge R750
EMEA-DC-ONPREM-PHYS-DB01,Hewlett Packard Enterprise,ProLiant DL380 Gen10,Server,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall B,EMEA-DC-ONPREM-SRV-B-R03,9,front,active,Server - ProLiant DL380 Gen10
EMEA-DC-ONPREM-PHYS-DB02,Hewlett Packard Enterprise,ProLiant DL380 Gen10,Server,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall B,EMEA-DC-ONPREM-SRV-B-R04,11,front,active,Server - ProLiant DL380 Gen10
EMEA-DC-ONPREM-ACC-STG-01,Cisco Systems,Catalyst 9300-48P,Access Switch,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Storage Room,EMEA-DC-ONPREM-STG-R01,42,front,active,Access Switch - Catalyst 9300-48P
EMEA-DC-ONPREM-ACC-STG-02,Cisco Systems,Catalyst 9300-48P,Access Switch,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Storage Room,EMEA-DC-ONPREM-STG-R02,42,front,active,Access Switch - Catalyst 9300-48P
EMEA-DC-ONPREM-SAN-01,Dell Technologies,PowerStore 9200T,Storage,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Storage Room,EMEA-DC-ONPREM-STG-R03,1,front,active,Storage - PowerStore 9200T
EMEA-DC-ONPREM-SAN-02,Dell Technologies,PowerStore 9200T,Storage,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Storage Room,EMEA-DC-ONPREM-STG-R01,3,front,active,Storage - PowerStore 9200T
EMEA-DC-ONPREM-NAS-01,Dell Technologies,PowerScale F600,Storage,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Storage Room,EMEA-DC-ONPREM-STG-R02,5,front,active,Storage - PowerScale F600
EMEA-DC-ONPREM-NAS-02,Dell Technologies,PowerScale F600,Storage,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Storage Room,EMEA-DC-ONPREM-STG-R03,9,front,active,Storage - PowerScale F600
EMEA-DC-ONPREM-MMR-SW01,Cisco Systems,Catalyst 9300-48P,Access Switch,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Meet-Me Room,EMEA-DC-ONPREM-MMR-R01,1,front,active,Access Switch - Catalyst 9300-48P
EMEA-DC-ONPREM-OOB-RTR01,Cisco Systems,ISR 4431,OOB Router,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Meet-Me Room,EMEA-DC-ONPREM-MMR-R02,2,front,active,OOB Router - ISR 4431
APAC-DC-ONPREM-CORE-SW01,Cisco Systems,Nexus 9508,Core Switch,APAC-DC-ONPREM,APAC-DC-ONPREM-Network Core,APAC-DC-ONPREM-NET-R01,1,front,active,Core Switch - Nexus 9508
APAC-DC-ONPREM-CORE-SW02,Cisco Systems,Nexus 9508,Core Switch,APAC-DC-ONPREM,APAC-DC-ONPREM-Network Core,APAC-DC-ONPREM-NET-R02,14,front,active,Core Switch - Nexus 9508
APAC-DC-ONPREM-DIST-SW01,Cisco Systems,Nexus 93180YC-FX,Distribution Switch,APAC-DC-ONPREM,APAC-DC-ONPREM-Network Core,APAC-DC-ONPREM-NET-R03,27,front,active,Distribution Switch - Nexus 93180YC-FX
APAC-DC-ONPREM-DIST-SW02,Cisco Systems,Nexus 93180YC-FX,Distribution Switch,APAC-DC-ONPREM,APAC-DC-ONPREM-Network Core,APAC-DC-ONPREM-NET-R04,28,front,active,Distribution Switch - Nexus 93180YC-FX
APAC-DC-ONPREM-FW-EXT-01,Palo Alto Networks,PA-5450,Firewall,APAC-DC-ONPREM,APAC-DC-ONPREM-Network Core,APAC-DC-ONPREM-NET-R01,30,front,active,Firewall - PA-5450
APAC-DC-ONPREM-FW-EXT-02,Palo Alto Networks,PA-5450,Firewall,APAC-DC-ONPREM,APAC-DC-ONPREM-Network Core,APAC-DC-ONPREM-NET-R02,34,front,active,Firewall - PA-5450
APAC-DC-ONPREM-FW-INT-01,Palo Alto Networks,PA-3260,Firewall,APAC-DC-ONPREM,APAC-DC-ONPREM-Network Core,APAC-DC-ONPREM-NET-R03,38,front,active,Firewall - PA-3260
APAC-DC-ONPREM-FW-INT-02,Palo Alto Networks,PA-3260,Firewall,APAC-DC-ONPREM,APAC-DC-ONPREM-Network Core,APAC-DC-ONPREM-NET-R04,40,front,active,Firewall - PA-3260
APAC-DC-ONPREM-RTR-EDGE-01,Cisco Systems,ASR 9001,Router,APAC-DC-ONPREM,APAC-DC-ONPREM-Network Core,APAC-DC-ONPREM-NET-R01,41,front,active,Router - ASR 9001
APAC-DC-ONPREM-RTR-EDGE-02,Cisco Systems,ASR 9001,Router,APAC-DC-ONPREM,APAC-DC-ONPREM-Network Core,APAC-DC-ONPREM-NET-R02,41,front,active,Router - ASR 9001
APAC-DC-ONPREM-LB-01,F5 Networks,BIG-IP i10800,Load Balancer,APAC-DC-ONPREM,APAC-DC-ONPREM-Network Core,APAC-DC-ONPREM-NET-R03,41,front,active,Load Balancer - BIG-IP i10800
APAC-DC-ONPREM-SPINE-A01,Arista Networks,DCS-7280SR-48C6,Spine Switch,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall A,APAC-DC-ONPREM-SRV-A-R01,42,front,active,Spine Switch - DCS-7280SR-48C6
APAC-DC-ONPREM-SPINE-A02,Arista Networks,DCS-7280SR-48C6,Spine Switch,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall A,APAC-DC-ONPREM-SRV-A-R02,42,front,active,Spine Switch - DCS-7280SR-48C6
APAC-DC-ONPREM-LEAF-A01,Arista Networks,DCS-7050SX3-48YC12,Leaf Switch,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall A,APAC-DC-ONPREM-SRV-A-R03,42,front,active,Leaf Switch - DCS-7050SX3-48YC12
APAC-DC-ONPREM-LEAF-A02,Arista Networks,DCS-7050SX3-48YC12,Leaf Switch,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall A,APAC-DC-ONPREM-SRV-A-R04,42,front,active,Leaf Switch - DCS-7050SX3-48YC12
APAC-DC-ONPREM-ESX-A01,Dell Technologies,PowerEdge R750,Server,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall A,APAC-DC-ONPREM-SRV-A-R05,1,front,active,Server - PowerEdge R750
APAC-DC-ONPREM-ESX-A02,Dell Technologies,PowerEdge R750,Server,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall A,APAC-DC-ONPREM-SRV-A-R06,3,front,active,Server - PowerEdge R750
APAC-DC-ONPREM-ESX-A03,Dell Technologies,PowerEdge R750,Server,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall A,APAC-DC-ONPREM-SRV-A-R01,5,front,active,Server - PowerEdge R750
APAC-DC-ONPREM-ESX-A04,Dell Technologies,PowerEdge R750,Server,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall A,APAC-DC-ONPREM-SRV-A-R02,7,front,active,Server - PowerEdge R750
APAC-DC-ONPREM-ESX-A05,Hewlett Packard Enterprise,ProLiant DL380 Gen10,Server,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall A,APAC-DC-ONPREM-SRV-A-R03,9,front,active,Server - ProLiant DL380 Gen10
APAC-DC-ONPREM-ESX-A06,Hewlett Packard Enterprise,ProLiant DL380 Gen10,Server,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall A,APAC-DC-ONPREM-SRV-A-R04,11,front,active,Server - ProLiant DL380 Gen10
APAC-DC-ONPREM-SPINE-B01,Arista Networks,DCS-7280SR-48C6,Spine Switch,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall B,APAC-DC-ONPREM-SRV-B-R01,42,front,active,Spine Switch - DCS-7280SR-48C6
APAC-DC-ONPREM-SPINE-B02,Arista Networks,DCS-7280SR-48C6,Spine Switch,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall B,APAC-DC-ONPREM-SRV-B-R02,42,front,active,Spine Switch - DCS-7280SR-48C6
APAC-DC-ONPREM-LEAF-B01,Arista Networks,DCS-7050SX3-48YC12,Leaf Switch,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall B,APAC-DC-ONPREM-SRV-B-R03,42,front,active,Leaf Switch - DCS-7050SX3-48YC12
APAC-DC-ONPREM-LEAF-B02,Arista Networks,DCS-7050SX3-48YC12,Leaf Switch,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall B,APAC-DC-ONPREM-SRV-B-R04,42,front,active,Leaf Switch - DCS-7050SX3-48YC12
APAC-DC-ONPREM-ESX-B01,Dell Technologies,PowerEdge R750,Server,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall B,APAC-DC-ONPREM-SRV-B-R05,1,front,active,Server - PowerEdge R750
APAC-DC-ONPREM-ESX-B02,Dell Technologies,PowerEdge R750,Server,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall B,APAC-DC-ONPREM-SRV-B-R06,3,front,active,Server - PowerEdge R750
APAC-DC-ONPREM-ESX-B03,Dell Technologies,PowerEdge R750,Server,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall B,APAC-DC-ONPREM-SRV-B-R01,5,front,active,Server - PowerEdge R750
APAC-DC-ONPREM-ESX-B04,Dell Technologies,PowerEdge R750,Server,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall B,APAC-DC-ONPREM-SRV-B-R02,7,front,active,Server - PowerEdge R750
APAC-DC-ONPREM-PHYS-DB01,Hewlett Packard Enterprise,ProLiant DL380 Gen10,Server,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall B,APAC-DC-ONPREM-SRV-B-R03,9,front,active,Server - ProLiant DL380 Gen10
APAC-DC-ONPREM-PHYS-DB02,Hewlett Packard Enterprise,ProLiant DL380 Gen10,Server,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall B,APAC-DC-ONPREM-SRV-B-R04,11,front,active,Server - ProLiant DL380 Gen10
APAC-DC-ONPREM-ACC-STG-01,Cisco Systems,Catalyst 9300-48P,Access Switch,APAC-DC-ONPREM,APAC-DC-ONPREM-Storage Room,APAC-DC-ONPREM-STG-R01,42,front,active,Access Switch - Catalyst 9300-48P
APAC-DC-ONPREM-ACC-STG-02,Cisco Systems,Catalyst 9300-48P,Access Switch,APAC-DC-ONPREM,APAC-DC-ONPREM-Storage Room,APAC-DC-ONPREM-STG-R02,42,front,active,Access Switch - Catalyst 9300-48P
APAC-DC-ONPREM-SAN-01,Dell Technologies,PowerStore 9200T,Storage,APAC-DC-ONPREM,APAC-DC-ONPREM-Storage Room,APAC-DC-ONPREM-STG-R03,1,front,active,Storage - PowerStore 9200T
APAC-DC-ONPREM-SAN-02,Dell Technologies,PowerStore 9200T,Storage,APAC-DC-ONPREM,APAC-DC-ONPREM-Storage Room,APAC-DC-ONPREM-STG-R01,3,front,active,Storage - PowerStore 9200T
APAC-DC-ONPREM-NAS-01,Dell Technologies,PowerScale F600,Storage,APAC-DC-ONPREM,APAC-DC-ONPREM-Storage Room,APAC-DC-ONPREM-STG-R02,5,front,active,Storage - PowerScale F600
APAC-DC-ONPREM-NAS-02,Dell Technologies,PowerScale F600,Storage,APAC-DC-ONPREM,APAC-DC-ONPREM-Storage Room,APAC-DC-ONPREM-STG-R03,9,front,active,Storage - PowerScale F600
APAC-DC-ONPREM-MMR-SW01,Cisco Systems,Catalyst 9300-48P,Access Switch,APAC-DC-ONPREM,APAC-DC-ONPREM-Meet-Me Room,APAC-DC-ONPREM-MMR-R01,1,front,active,Access Switch - Catalyst 9300-48P
APAC-DC-ONPREM-OOB-RTR01,Cisco Systems,ISR 4431,OOB Router,APAC-DC-ONPREM,APAC-DC-ONPREM-Meet-Me Room,APAC-DC-ONPREM-MMR-R02,2,front,active,OOB Router - ISR 4431
AMER-DC-ONPREM-CORE-SW01,Cisco Systems,Nexus 9508,Core Switch,AMER-DC-ONPREM,AMER-DC-ONPREM-Network Core,AMER-DC-ONPREM-NET-R01,1,front,active,Core Switch - Nexus 9508
AMER-DC-ONPREM-CORE-SW02,Cisco Systems,Nexus 9508,Core Switch,AMER-DC-ONPREM,AMER-DC-ONPREM-Network Core,AMER-DC-ONPREM-NET-R02,14,front,active,Core Switch - Nexus 9508
AMER-DC-ONPREM-DIST-SW01,Cisco Systems,Nexus 93180YC-FX,Distribution Switch,AMER-DC-ONPREM,AMER-DC-ONPREM-Network Core,AMER-DC-ONPREM-NET-R03,27,front,active,Distribution Switch - Nexus 93180YC-FX
AMER-DC-ONPREM-DIST-SW02,Cisco Systems,Nexus 93180YC-FX,Distribution Switch,AMER-DC-ONPREM,AMER-DC-ONPREM-Network Core,AMER-DC-ONPREM-NET-R04,28,front,active,Distribution Switch - Nexus 93180YC-FX
AMER-DC-ONPREM-FW-EXT-01,Palo Alto Networks,PA-5450,Firewall,AMER-DC-ONPREM,AMER-DC-ONPREM-Network Core,AMER-DC-ONPREM-NET-R01,30,front,active,Firewall - PA-5450
AMER-DC-ONPREM-FW-EXT-02,Palo Alto Networks,PA-5450,Firewall,AMER-DC-ONPREM,AMER-DC-ONPREM-Network Core,AMER-DC-ONPREM-NET-R02,34,front,active,Firewall - PA-5450
AMER-DC-ONPREM-FW-INT-01,Palo Alto Networks,PA-3260,Firewall,AMER-DC-ONPREM,AMER-DC-ONPREM-Network Core,AMER-DC-ONPREM-NET-R03,38,front,active,Firewall - PA-3260
AMER-DC-ONPREM-FW-INT-02,Palo Alto Networks,PA-3260,Firewall,AMER-DC-ONPREM,AMER-DC-ONPREM-Network Core,AMER-DC-ONPREM-NET-R04,40,front,active,Firewall - PA-3260
AMER-DC-ONPREM-RTR-EDGE-01,Cisco Systems,ASR 9001,Router,AMER-DC-ONPREM,AMER-DC-ONPREM-Network Core,AMER-DC-ONPREM-NET-R01,41,front,active,Router - ASR 9001
AMER-DC-ONPREM-RTR-EDGE-02,Cisco Systems,ASR 9001,Router,AMER-DC-ONPREM,AMER-DC-ONPREM-Network Core,AMER-DC-ONPREM-NET-R02,41,front,active,Router - ASR 9001
AMER-DC-ONPREM-LB-01,F5 Networks,BIG-IP i10800,Load Balancer,AMER-DC-ONPREM,AMER-DC-ONPREM-Network Core,AMER-DC-ONPREM-NET-R03,41,front,active,Load Balancer - BIG-IP i10800
AMER-DC-ONPREM-SPINE-A01,Arista Networks,DCS-7280SR-48C6,Spine Switch,AMER-DC-ONPREM,AMER-DC-ONPREM-Server Hall A,AMER-DC-ONPREM-SRV-A-R01,42,front,active,Spine Switch - DCS-7280SR-48C6
AMER-DC-ONPREM-SPINE-A02,Arista Networks,DCS-7280SR-48C6,Spine Switch,AMER-DC-ONPREM,AMER-DC-ONPREM-Server Hall A,AMER-DC-ONPREM-SRV-A-R02,42,front,active,Spine Switch - DCS-7280SR-48C6
AMER-DC-ONPREM-LEAF-A01,Arista Networks,DCS-7050SX3-48YC12,Leaf Switch,AMER-DC-ONPREM,AMER-DC-ONPREM-Server Hall A,AMER-DC-ONPREM-SRV-A-R03,42,front,active,Leaf Switch - DCS-7050SX3-48YC12
AMER-DC-ONPREM-LEAF-A02,Arista Networks,DCS-7050SX3-48YC12,Leaf Switch,AMER-DC-ONPREM,AMER-DC-ONPREM-Server Hall A,AMER-DC-ONPREM-SRV-A-R04,42,front,active,Leaf Switch - DCS-7050SX3-48YC12
AMER-DC-ONPREM-ESX-A01,Dell Technologies,PowerEdge R750,Server,AMER-DC-ONPREM,AMER-DC-ONPREM-Server Hall A,AMER-DC-ONPREM-SRV-A-R05,1,front,active,Server - PowerEdge R750
AMER-DC-ONPREM-ESX-A02,Dell Technologies,PowerEdge R750,Server,AMER-DC-ONPREM,AMER-DC-ONPREM-Server Hall A,AMER-DC-ONPREM-SRV-A-R06,3,front,active,Server - PowerEdge R750
AMER-DC-ONPREM-ESX-A03,Dell Technologies,PowerEdge R750,Server,AMER-DC-ONPREM,AMER-DC-ONPREM-Server Hall A,AMER-DC-ONPREM-SRV-A-R01,5,front,active,Server - PowerEdge R750
AMER-DC-ONPREM-ESX-A04,Dell Technologies,PowerEdge R750,Server,AMER-DC-ONPREM,AMER-DC-ONPREM-Server Hall A,AMER-DC-ONPREM-SRV-A-R02,7,front,active,Server - PowerEdge R750
AMER-DC-ONPREM-ESX-A05,Hewlett Packard Enterprise,ProLiant DL380 Gen10,Server,AMER-DC-ONPREM,AMER-DC-ONPREM-Server Hall A,AMER-DC-ONPREM-SRV-A-R03,9,front,active,Server - ProLiant DL380 Gen10
AMER-DC-ONPREM-ESX-A06,Hewlett Packard Enterprise,ProLiant DL380 Gen10,Server,AMER-DC-ONPREM,AMER-DC-ONPREM-Server Hall A,AMER-DC-ONPREM-SRV-A-R04,11,front,active,Server - ProLiant DL380 Gen10
AMER-DC-ONPREM-SPINE-B01,Arista Networks,DCS-7280SR-48C6,Spine Switch,AMER-DC-ONPREM,AMER-DC-ONPREM-Server Hall B,AMER-DC-ONPREM-SRV-B-R01,42,front,active,Spine Switch - DCS-7280SR-48C6
AMER-DC-ONPREM-SPINE-B02,Arista Networks,DCS-7280SR-48C6,Spine Switch,AMER-DC-ONPREM,AMER-DC-ONPREM-Server Hall B,AMER-DC-ONPREM-SRV-B-R02,42,front,active,Spine Switch - DCS-7280SR-48C6
AMER-DC-ONPREM-LEAF-B01,Arista Networks,DCS-7050SX3-48YC12,Leaf Switch,AMER-DC-ONPREM,AMER-DC-ONPREM-Server Hall B,AMER-DC-ONPREM-SRV-B-R03,42,front,active,Leaf Switch - DCS-7050SX3-48YC12
AMER-DC-ONPREM-LEAF-B02,Arista Networks,DCS-7050SX3-48YC12,Leaf Switch,AMER-DC-ONPREM,AMER-DC-ONPREM-Server Hall B,AMER-DC-ONPREM-SRV-B-R04,42,front,active,Leaf Switch - DCS-7050SX3-48YC12
AMER-DC-ONPREM-ESX-B01,Dell Technologies,PowerEdge R750,Server,AMER-DC-ONPREM,AMER-DC-ONPREM-Server Hall B,AMER-DC-ONPREM-SRV-B-R05,1,front,active,Server - PowerEdge R750
AMER-DC-ONPREM-ESX-B02,Dell Technologies,PowerEdge R750,Server,AMER-DC-ONPREM,AMER-DC-ONPREM-Server Hall B,AMER-DC-ONPREM-SRV-B-R06,3,front,active,Server - PowerEdge R750
AMER-DC-ONPREM-ESX-B03,Dell Technologies,PowerEdge R750,Server,AMER-DC-ONPREM,AMER-DC-ONPREM-Server Hall B,AMER-DC-ONPREM-SRV-B-R01,5,front,active,Server - PowerEdge R750
AMER-DC-ONPREM-ESX-B04,Dell Technologies,PowerEdge R750,Server,AMER-DC-ONPREM,AMER-DC-ONPREM-Server Hall B,AMER-DC-ONPREM-SRV-B-R02,7,front,active,Server - PowerEdge R750
AMER-DC-ONPREM-PHYS-DB01,Hewlett Packard Enterprise,ProLiant DL380 Gen10,Server,AMER-DC-ONPREM,AMER-DC-ONPREM-Server Hall B,AMER-DC-ONPREM-SRV-B-R03,9,front,active,Server - ProLiant DL380 Gen10
AMER-DC-ONPREM-PHYS-DB02,Hewlett Packard Enterprise,ProLiant DL380 Gen10,Server,AMER-DC-ONPREM,AMER-DC-ONPREM-Server Hall B,AMER-DC-ONPREM-SRV-B-R04,11,front,active,Server - ProLiant DL380 Gen10
AMER-DC-ONPREM-ACC-STG-01,Cisco Systems,Catalyst 9300-48P,Access Switch,AMER-DC-ONPREM,AMER-DC-ONPREM-Storage Room,AMER-DC-ONPREM-STG-R01,42,front,active,Access Switch - Catalyst 9300-48P
AMER-DC-ONPREM-ACC-STG-02,Cisco Systems,Catalyst 9300-48P,Access Switch,AMER-DC-ONPREM,AMER-DC-ONPREM-Storage Room,AMER-DC-ONPREM-STG-R02,42,front,active,Access Switch - Catalyst 9300-48P
AMER-DC-ONPREM-SAN-01,Dell Technologies,PowerStore 9200T,Storage,AMER-DC-ONPREM,AMER-DC-ONPREM-Storage Room,AMER-DC-ONPREM-STG-R03,1,front,active,Storage - PowerStore 9200T
AMER-DC-ONPREM-SAN-02,Dell Technologies,PowerStore 9200T,Storage,AMER-DC-ONPREM,AMER-DC-ONPREM-Storage Room,AMER-DC-ONPREM-STG-R01,3,front,active,Storage - PowerStore 9200T
AMER-DC-ONPREM-NAS-01,Dell Technologies,PowerScale F600,Storage,AMER-DC-ONPREM,AMER-DC-ONPREM-Storage Room,AMER-DC-ONPREM-STG-R02,5,front,active,Storage - PowerScale F600
AMER-DC-ONPREM-NAS-02,Dell Technologies,PowerScale F600,Storage,AMER-DC-ONPREM,AMER-DC-ONPREM-Storage Room,AMER-DC-ONPREM-STG-R03,9,front,active,Storage - PowerScale F600
