name,type,spoke_site,spoke_device,hub_site,hub_device,primary_wan,backup_wan,encryption,status,failover,description,comments
LU-Agency1-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,LU-Agency1,LU-Agency1-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from LU-Agency1 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
LU-Agency2-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,LU-Agency2,LU-Agency2-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from LU-Agency2 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
CH-Agency1-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,CH-Agency1,CH-Agency1-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from CH-Agency1 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
CH-Agency2-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,CH-Agency2,CH-Agency2-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from CH-Agency2 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
AT-Agency1-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,AT-Agency1,AT-Agency1-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from AT-Agency1 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
AT-Agency2-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,AT-Agency2,AT-Agency2-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from AT-Agency2 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
IE-Agency1-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,IE-Agency1,IE-Agency1-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from IE-Agency1 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
IE-Agency2-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,IE-Agency2,IE-Agency2-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from IE-Agency2 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
MC-Agency1-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,MC-Agency1,MC-Agency1-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from MC-Agency1 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
MC-Agency2-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,MC-Agency2,MC-Agency2-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from MC-Agency2 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
ES-Agency1-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,ES-Agency1,ES-Agency1-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from ES-Agency1 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
ES-Agency2-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,ES-Agency2,ES-Agency2-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from ES-Agency2 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
PT-Agency1-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,PT-Agency1,PT-Agency1-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from PT-Agency1 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
PT-Agency2-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,PT-Agency2,PT-Agency2-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from PT-Agency2 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
IT-Agency1-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,IT-Agency1,IT-Agency1-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from IT-Agency1 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
IT-Agency2-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,IT-Agency2,IT-Agency2-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from IT-Agency2 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
GR-Agency1-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,GR-Agency1,GR-Agency1-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from GR-Agency1 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
GR-Agency2-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,GR-Agency2,GR-Agency2-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from GR-Agency2 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
MT-Agency1-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,MT-Agency1,MT-Agency1-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from MT-Agency1 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
MT-Agency2-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,MT-Agency2,MT-Agency2-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from MT-Agency2 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
CY-Agency1-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,CY-Agency1,CY-Agency1-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from CY-Agency1 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
CY-Agency2-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,CY-Agency2,CY-Agency2-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from CY-Agency2 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
AD-Agency1-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,AD-Agency1,AD-Agency1-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from AD-Agency1 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
AD-Agency2-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,AD-Agency2,AD-Agency2-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from AD-Agency2 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
SM-Agency1-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,SM-Agency1,SM-Agency1-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from SM-Agency1 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
SM-Agency2-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,SM-Agency2,SM-Agency2-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from SM-Agency2 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
SE-Agency1-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,SE-Agency1,SE-Agency1-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from SE-Agency1 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
SE-Agency2-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,SE-Agency2,SE-Agency2-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from SE-Agency2 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
NO-Agency1-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,NO-Agency1,NO-Agency1-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from NO-Agency1 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
NO-Agency2-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,NO-Agency2,NO-Agency2-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from NO-Agency2 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
DK-Agency1-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,DK-Agency1,DK-Agency1-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from DK-Agency1 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
DK-Agency2-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,DK-Agency2,DK-Agency2-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from DK-Agency2 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
FI-Agency1-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,FI-Agency1,FI-Agency1-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from FI-Agency1 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
FI-Agency2-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,FI-Agency2,FI-Agency2-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from FI-Agency2 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
IS-Agency1-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,IS-Agency1,IS-Agency1-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from IS-Agency1 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
IS-Agency2-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,IS-Agency2,IS-Agency2-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from IS-Agency2 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
PL-Agency1-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,PL-Agency1,PL-Agency1-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from PL-Agency1 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
PL-Agency2-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,PL-Agency2,PL-Agency2-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from PL-Agency2 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
CZ-Agency1-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,CZ-Agency1,CZ-Agency1-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from CZ-Agency1 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
CZ-Agency2-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,CZ-Agency2,CZ-Agency2-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from CZ-Agency2 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
HU-Agency1-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,HU-Agency1,HU-Agency1-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from HU-Agency1 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
HU-Agency2-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,HU-Agency2,HU-Agency2-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from HU-Agency2 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
RO-Agency1-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,RO-Agency1,RO-Agency1-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from RO-Agency1 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
RO-Agency2-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,RO-Agency2,RO-Agency2-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from RO-Agency2 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
BG-Agency1-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,BG-Agency1,BG-Agency1-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from BG-Agency1 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
BG-Agency2-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,BG-Agency2,BG-Agency2-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from BG-Agency2 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
SK-Agency1-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,SK-Agency1,SK-Agency1-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from SK-Agency1 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
SK-Agency2-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,SK-Agency2,SK-Agency2-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from SK-Agency2 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
SI-Agency1-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,SI-Agency1,SI-Agency1-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from SI-Agency1 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
SI-Agency2-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,SI-Agency2,SI-Agency2-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from SI-Agency2 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
HR-Agency1-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,HR-Agency1,HR-Agency1-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from HR-Agency1 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
HR-Agency2-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,HR-Agency2,HR-Agency2-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from HR-Agency2 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
RS-Agency1-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,RS-Agency1,RS-Agency1-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from RS-Agency1 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
RS-Agency2-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,RS-Agency2,RS-Agency2-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from RS-Agency2 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
UA-Agency1-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,UA-Agency1,UA-Agency1-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from UA-Agency1 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
UA-Agency2-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,UA-Agency2,UA-Agency2-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from UA-Agency2 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
LT-Agency1-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,LT-Agency1,LT-Agency1-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from LT-Agency1 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
LT-Agency2-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,LT-Agency2,LT-Agency2-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from LT-Agency2 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
LV-Agency1-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,LV-Agency1,LV-Agency1-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from LV-Agency1 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
LV-Agency2-VPN-TO-EMEA-DC-ONPREM,Meraki Auto VPN,LV-Agency2,LV-Agency2-MX-01,EMEA-DC-ONPREM,EMEA-DC-ONPREM-MERAKI-HUB-MX,ADSL,5G,AES-256,active,automatic,Meraki SD-WAN tunnel from LV-Agency2 to EMEA-DC-ONPREM,Auto VPN with automatic failover between ADSL and 5G. Managed via Meraki Dashboard.
