device,name,type,enabled,mgmt_only,description
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/15,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/15
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/16,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/16
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/17,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/17
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/18,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/18
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/19,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/19
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/20,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/20
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/21,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/21
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/22,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/22
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/23,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/23
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/24,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/24
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/25,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/25
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/26,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/26
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/27,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/27
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/28,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/28
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/29,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/29
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/30,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/30
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/31,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/31
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/32,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/32
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/33,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/33
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/34,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/34
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/35,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/35
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/36,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/36
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/37,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/37
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/38,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/38
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/39,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/39
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/40,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/40
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/41,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/41
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/42,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/42
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/43,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/43
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/44,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/44
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/45,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/45
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/46,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/46
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/47,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/47
EMEA-DC-ONPREM-CORE-SW01,Ethernet1/48,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/48
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/1,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/1
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/2,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/2
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/3,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/3
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/4,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/4
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/5,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/5
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/6,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/6
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/7,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/7
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/8,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/8
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/9,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/9
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/10,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/10
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/11,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/11
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/12,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/12
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/13,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/13
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/14,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/14
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/15,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/15
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/16,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/16
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/17,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/17
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/18,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/18
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/19,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/19
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/20,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/20
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/21,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/21
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/22,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/22
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/23,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/23
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/24,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/24
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/25,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/25
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/26,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/26
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/27,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/27
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/28,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/28
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/29,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/29
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/30,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/30
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/31,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/31
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/32,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/32
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/33,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/33
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/34,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/34
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/35,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/35
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/36,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/36
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/37,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/37
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/38,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/38
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/39,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/39
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/40,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/40
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/41,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/41
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/42,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/42
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/43,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/43
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/44,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/44
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/45,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/45
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/46,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/46
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/47,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/47
EMEA-DC-ONPREM-CORE-SW01,Ethernet2/48,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/48
EMEA-DC-ONPREM-CORE-SW01,Loopback0,virtual,True,False,Loopback interface for routing protocols
EMEA-DC-ONPREM-CORE-SW02,mgmt0,1000base-t,True,True,Management interface
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/1,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/1
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/2,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/2
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/3,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/3
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/4,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/4
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/5,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/5
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/6,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/6
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/7,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/7
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/8,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/8
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/9,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/9
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/10,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/10
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/11,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/11
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/12,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/12
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/13,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/13
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/14,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/14
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/15,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/15
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/16,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/16
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/17,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/17
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/18,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/18
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/19,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/19
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/20,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/20
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/21,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/21
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/22,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/22
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/23,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/23
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/24,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/24
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/25,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/25
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/26,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/26
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/27,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/27
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/28,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/28
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/29,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/29
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/30,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/30
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/31,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/31
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/32,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/32
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/33,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/33
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/34,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/34
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/35,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/35
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/36,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/36
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/37,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/37
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/38,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/38
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/39,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/39
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/40,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/40
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/41,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/41
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/42,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/42
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/43,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/43
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/44,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/44
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/45,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/45
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/46,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/46
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/47,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/47
EMEA-DC-ONPREM-CORE-SW02,Ethernet1/48,100gbase-x-qsfp28,True,False,100G QSFP28 Port 1/48
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/1,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/1
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/2,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/2
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/3,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/3
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/4,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/4
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/5,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/5
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/6,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/6
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/7,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/7
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/8,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/8
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/9,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/9
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/10,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/10
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/11,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/11
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/12,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/12
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/13,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/13
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/14,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/14
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/15,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/15
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/16,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/16
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/17,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/17
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/18,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/18
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/19,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/19
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/20,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/20
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/21,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/21
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/22,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/22
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/23,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/23
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/24,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/24
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/25,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/25
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/26,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/26
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/27,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/27
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/28,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/28
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/29,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/29
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/30,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/30
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/31,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/31
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/32,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/32
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/33,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/33
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/34,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/34
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/35,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/35
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/36,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/36
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/37,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/37
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/38,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/38
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/39,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/39
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/40,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/40
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/41,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/41
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/42,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/42
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/43,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/43
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/44,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/44
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/45,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/45
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/46,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/46
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/47,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/47
EMEA-DC-ONPREM-CORE-SW02,Ethernet2/48,100gbase-x-qsfp28,True,False,100G QSFP28 Port 2/48
EMEA-DC-ONPREM-CORE-SW02,Loopback0,virtual,True,False,Loopback interface for routing protocols
EMEA-DC-ONPREM-DIST-SW01,mgmt0,1000base-t,True,True,Management interface
EMEA-DC-ONPREM-DIST-SW01,Ethernet1/1,25gbase-x-sfp28,True,False,25G SFP28 Port 1/1
EMEA-DC-ONPREM-DIST-SW01,Ethernet1/2,25gbase-x-sfp28,True,False,25G SFP28 Port 1/2
EMEA-DC-ONPREM-DIST-SW01,Ethernet1/3,25gbase-x-sfp28,True,False,25G SFP28 Port 1/3
EMEA-DC-ONPREM-DIST-SW01,Ethernet1/4,25gbase-x-sfp28,True,False,25G SFP28 Port 1/4
EMEA-DC-ONPREM-DIST-SW01,Ethernet1/5,25gbase-x-sfp28,True,False,25G SFP28 Port 1/5
EMEA-DC-ONPREM-DIST-SW01,Ethernet1/6,25gbase-x-sfp28,True,False,25G SFP28 Port 1/6
EMEA-DC-ONPREM-DIST-SW01,Ethernet1/7,25gbase-x-sfp28,True,False,25G SFP28 Port 1/7
EMEA-DC-ONPREM-DIST-SW01,Ethernet1/8,25gbase-x-sfp28,True,False,25G SFP28 Port 1/8
EMEA-DC-ONPREM-DIST-SW01,Ethernet1/9,25gbase-x-sfp28,True,False,25G SFP28 Port 1/9
EMEA-DC-ONPREM-DIST-SW01,Ethernet1/10,25gbase-x-sfp28,True,False,25G SFP28 Port 1/10
EMEA-DC-ONPREM-DIST-SW01,Ethernet1/11,25gbase-x-sfp28,True,False,25G SFP28 Port 1/11
EMEA-DC-ONPREM-DIST-SW01,Ethernet1/12,25gbase-x-sfp28,True,False,25G SFP28 Port 1/12
EMEA-DC-ONPREM-DIST-SW01,Ethernet1/13,25gbase-x-sfp28,True,False,25G SFP28 Port 1/13
EMEA-DC-ONPREM-DIST-SW01,Ethernet1/14,25gbase-x-sfp28,True,False,25G SFP28 Port 1/14
EMEA-DC-ONPREM-DIST-SW01,Ethernet1/15,25gbase-x-sfp28,True,False,25G SFP28 Port 1/15
EMEA-DC-ONPREM-DIST-SW01,Ethernet1/16,25gbase-x-sfp28,True,False,25G SFP28 Port 1/16
EMEA-DC-ONPREM-DIST-SW01,Ethernet1/17,25gbase-x-sfp28,True,False,25G SFP28 Port 1/17
EMEA-DC-ONPREM-DIST-SW01,Ethernet1/18,25gbase-x-sfp28,True,False,25G SFP28 Port 1/18
EMEA-DC-ONPREM-DIST-SW01,Ethernet1/19,25gbase-x-sfp28,True,False,25G SFP28 Port 1/19
EMEA-DC-ONPREM-DIST-SW01,Ethernet1/20,25gbase-x-sfp28,True,False,25G SFP28 Port 1/20
EMEA-DC-ONPREM-DIST-SW01,Ethernet1/21,25gbase-x-sfp28,True,False,25G SFP28 Port 1/21
EMEA-DC-ONPREM-DIST-SW01,Ethernet1/22,25gbase-x-sfp28,True,False,25G SFP28 Port 1/22
EMEA-DC-ONPREM-DIST-SW01,Ethernet1/23,25gbase-x-sfp28,True,False,25G SFP28 Port 1/23
EMEA-DC-ONPREM-DIST-SW01,Ethernet1/24,25gbase-x-sfp28,True,False,25G SFP28 Port 1/24
EMEA-DC-ONPREM-DIST-SW01,Ethernet1/25,25gbase-x-sfp28,True,False,25G SFP28 Port 1/25
EMEA-DC-ONPREM-DIST-SW01,Ethernet1/26,25gbase-x-sfp28,True,False,25G SFP28 Port 1/26
