label,type,status,side_a_device,side_a_type,side_a_name,side_b_device,side_b_type,side_b_name,length,length_unit,color,description
EMEA-DC-ONPREM-CABLE-00530,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/24,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-24,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00531,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/25,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-25,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00532,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/26,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-26,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00533,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/27,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-27,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00534,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/28,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-28,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00535,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/29,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-29,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00536,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/30,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-30,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00537,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/31,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-31,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00538,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/32,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-32,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00539,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/33,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-33,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00540,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/34,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-34,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00541,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/35,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-35,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00542,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/36,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-36,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00543,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/37,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-37,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00544,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/38,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-38,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00545,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/39,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-39,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00546,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/40,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-40,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00547,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/41,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-41,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00548,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/42,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-42,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00549,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/43,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-43,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00550,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/44,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-44,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00551,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/45,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-45,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00552,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/46,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-46,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00553,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/47,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-47,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00554,smf,connected,EMEA-DC-ONPREM-CORE-SW01,dcim.interface,Ethernet1/48,EMEA-DC-ONPREM-NET-R01-FPP01,dcim.frontport,Front-48,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW01 to front port
EMEA-DC-ONPREM-CABLE-00555,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/1,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-1,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00556,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/2,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-2,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00557,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/3,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-3,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00558,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/4,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-4,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00559,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/5,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-5,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00560,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/6,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-6,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00561,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/7,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-7,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00562,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/8,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-8,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00563,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/9,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-9,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00564,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/10,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-10,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00565,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/11,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-11,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00566,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/12,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-12,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00567,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/13,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-13,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00568,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/14,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-14,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00569,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/15,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-15,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00570,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/16,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-16,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00571,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/17,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-17,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00572,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/18,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-18,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00573,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/19,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-19,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00574,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/20,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-20,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00575,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/21,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-21,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00576,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/22,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-22,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00577,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/23,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-23,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00578,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/24,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-24,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00579,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/25,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-25,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00580,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/26,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-26,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00581,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/27,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-27,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00582,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/28,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-28,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00583,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/29,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-29,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00584,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/30,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-30,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00585,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/31,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-31,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00586,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/32,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-32,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00587,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/33,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-33,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00588,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/34,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-34,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00589,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/35,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-35,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00590,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/36,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-36,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00591,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/37,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-37,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00592,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/38,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-38,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00593,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/39,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-39,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00594,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/40,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-40,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00595,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/41,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-41,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00596,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/42,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-42,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00597,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/43,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-43,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00598,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/44,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-44,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00599,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/45,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-45,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00600,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/46,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-46,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00601,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/47,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-47,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
EMEA-DC-ONPREM-CABLE-00602,smf,connected,EMEA-DC-ONPREM-CORE-SW02,dcim.interface,Ethernet1/48,EMEA-DC-ONPREM-NET-R02-FPP01,dcim.frontport,Front-48,2,m,blue,Equipment cable: EMEA-DC-ONPREM-CORE-SW02 to front port
