label,type,status,a_termination_type,a_termination,b_termination_type,b_termination,length,length_unit,description
EMEA-DC-CLOUD-CABLE-0011-D01-FWEXT01,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-DIST-SW01:Ethernet1/10,dcim.interface,EMEA-DC-CLOUD-FW-EXT-01:ethernet1/1,,,Connection EMEA-DC-CLOUD-DIST-SW01 to EMEA-DC-CLOUD-FW-EXT-01
EMEA-DC-CLOUD-CABLE-0012-D01-FWEXT01,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-DIST-SW01:Ethernet1/11,dcim.interface,EMEA-DC-CLOUD-FW-EXT-01:ethernet1/2,,,Connection EMEA-DC-CLOUD-DIST-SW01 to EMEA-DC-CLOUD-FW-EXT-01
EMEA-DC-CLOUD-CABLE-0013-D02-FWEXT02,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-DIST-SW02:Ethernet1/10,dcim.interface,EMEA-DC-CLOUD-FW-EXT-02:ethernet1/1,,,Connection EMEA-DC-CLOUD-DIST-SW02 to EMEA-DC-CLOUD-FW-EXT-02
EMEA-DC-CLOUD-CABLE-0014-D02-FWEXT02,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-DIST-SW02:Ethernet1/11,dcim.interface,EMEA-DC-CLOUD-FW-EXT-02:ethernet1/2,,,Connection EMEA-DC-CLOUD-DIST-SW02 to EMEA-DC-CLOUD-FW-EXT-02
EMEA-DC-CLOUD-CABLE-0015-D01-FWINT01,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-DIST-SW01:Ethernet1/12,dcim.interface,EMEA-DC-CLOUD-FW-INT-01:ethernet1/1,,,Connection EMEA-DC-CLOUD-DIST-SW01 to EMEA-DC-CLOUD-FW-INT-01
EMEA-DC-CLOUD-CABLE-0016-D01-FWINT01,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-DIST-SW01:Ethernet1/13,dcim.interface,EMEA-DC-CLOUD-FW-INT-01:ethernet1/2,,,Connection EMEA-DC-CLOUD-DIST-SW01 to EMEA-DC-CLOUD-FW-INT-01
EMEA-DC-CLOUD-CABLE-0017-D02-FWINT02,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-DIST-SW02:Ethernet1/12,dcim.interface,EMEA-DC-CLOUD-FW-INT-02:ethernet1/1,,,Connection EMEA-DC-CLOUD-DIST-SW02 to EMEA-DC-CLOUD-FW-INT-02
EMEA-DC-CLOUD-CABLE-0018-D02-FWINT02,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-DIST-SW02:Ethernet1/13,dcim.interface,EMEA-DC-CLOUD-FW-INT-02:ethernet1/2,,,Connection EMEA-DC-CLOUD-DIST-SW02 to EMEA-DC-CLOUD-FW-INT-02
EMEA-DC-CLOUD-CABLE-0019-D01-RTR01,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-DIST-SW01:Ethernet1/20,dcim.interface,EMEA-DC-CLOUD-RTR-EDGE-01:TenGigE0/0/0/1,,,Connection EMEA-DC-CLOUD-DIST-SW01 to EMEA-DC-CLOUD-RTR-EDGE-01
EMEA-DC-CLOUD-CABLE-0020-D01-RTR01,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-DIST-SW01:Ethernet1/21,dcim.interface,EMEA-DC-CLOUD-RTR-EDGE-01:TenGigE0/0/0/2,,,Connection EMEA-DC-CLOUD-DIST-SW01 to EMEA-DC-CLOUD-RTR-EDGE-01
EMEA-DC-CLOUD-CABLE-0021-D02-RTR02,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-DIST-SW02:Ethernet1/20,dcim.interface,EMEA-DC-CLOUD-RTR-EDGE-02:TenGigE0/0/0/1,,,Connection EMEA-DC-CLOUD-DIST-SW02 to EMEA-DC-CLOUD-RTR-EDGE-02
EMEA-DC-CLOUD-CABLE-0022-D02-RTR02,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-DIST-SW02:Ethernet1/21,dcim.interface,EMEA-DC-CLOUD-RTR-EDGE-02:TenGigE0/0/0/2,,,Connection EMEA-DC-CLOUD-DIST-SW02 to EMEA-DC-CLOUD-RTR-EDGE-02
EMEA-DC-CLOUD-CABLE-0023-D01-LB01,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-DIST-SW01:Ethernet1/30,dcim.interface,EMEA-DC-CLOUD-LB-01:1.1,,,Connection EMEA-DC-CLOUD-DIST-SW01 to EMEA-DC-CLOUD-LB-01
EMEA-DC-CLOUD-CABLE-0024-D01-LB01,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-DIST-SW01:Ethernet1/31,dcim.interface,EMEA-DC-CLOUD-LB-01:1.2,,,Connection EMEA-DC-CLOUD-DIST-SW01 to EMEA-DC-CLOUD-LB-01
EMEA-DC-CLOUD-CABLE-0025-D02-LB01,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-DIST-SW02:Ethernet1/30,dcim.interface,EMEA-DC-CLOUD-LB-01:1.3,,,Connection EMEA-DC-CLOUD-DIST-SW02 to EMEA-DC-CLOUD-LB-01
EMEA-DC-CLOUD-CABLE-0026-D02-LB01,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-DIST-SW02:Ethernet1/31,dcim.interface,EMEA-DC-CLOUD-LB-01:1.4,,,Connection EMEA-DC-CLOUD-DIST-SW02 to EMEA-DC-CLOUD-LB-01
EMEA-DC-CLOUD-CABLE-0027-SPINEA01-D01,aoc,connected,dcim.interface,EMEA-DC-CLOUD-SPINE-A01:Ethernet49,dcim.interface,EMEA-DC-CLOUD-DIST-SW01:Ethernet1/40,,,Connection EMEA-DC-CLOUD-SPINE-A01 to EMEA-DC-CLOUD-DIST-SW01
EMEA-DC-CLOUD-CABLE-0028-SPINEA01-D02,aoc,connected,dcim.interface,EMEA-DC-CLOUD-SPINE-A01:Ethernet50,dcim.interface,EMEA-DC-CLOUD-DIST-SW02:Ethernet1/40,,,Connection EMEA-DC-CLOUD-SPINE-A01 to EMEA-DC-CLOUD-DIST-SW02
EMEA-DC-CLOUD-CABLE-0029-SPINEA02-D01,aoc,connected,dcim.interface,EMEA-DC-CLOUD-SPINE-A02:Ethernet49,dcim.interface,EMEA-DC-CLOUD-DIST-SW01:Ethernet1/41,,,Connection EMEA-DC-CLOUD-SPINE-A02 to EMEA-DC-CLOUD-DIST-SW01
EMEA-DC-CLOUD-CABLE-0030-SPINEA02-D02,aoc,connected,dcim.interface,EMEA-DC-CLOUD-SPINE-A02:Ethernet50,dcim.interface,EMEA-DC-CLOUD-DIST-SW02:Ethernet1/41,,,Connection EMEA-DC-CLOUD-SPINE-A02 to EMEA-DC-CLOUD-DIST-SW02
EMEA-DC-CLOUD-CABLE-0031-LEAFA01-SPINEA01,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-LEAF-A01:Ethernet49,dcim.interface,EMEA-DC-CLOUD-SPINE-A01:Ethernet1,,,Connection EMEA-DC-CLOUD-LEAF-A01 to EMEA-DC-CLOUD-SPINE-A01
EMEA-DC-CLOUD-CABLE-0032-LEAFA01-SPINEA01,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-LEAF-A01:Ethernet50,dcim.interface,EMEA-DC-CLOUD-SPINE-A01:Ethernet2,,,Connection EMEA-DC-CLOUD-LEAF-A01 to EMEA-DC-CLOUD-SPINE-A01
EMEA-DC-CLOUD-CABLE-0033-LEAFA01-SPINEA01,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-LEAF-A01:Ethernet51,dcim.interface,EMEA-DC-CLOUD-SPINE-A01:Ethernet3,,,Connection EMEA-DC-CLOUD-LEAF-A01 to EMEA-DC-CLOUD-SPINE-A01
EMEA-DC-CLOUD-CABLE-0034-LEAFA01-SPINEA01,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-LEAF-A01:Ethernet52,dcim.interface,EMEA-DC-CLOUD-SPINE-A01:Ethernet4,,,Connection EMEA-DC-CLOUD-LEAF-A01 to EMEA-DC-CLOUD-SPINE-A01
EMEA-DC-CLOUD-CABLE-0035-LEAFA01-SPINEA02,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-LEAF-A01:Ethernet53,dcim.interface,EMEA-DC-CLOUD-SPINE-A02:Ethernet1,,,Connection EMEA-DC-CLOUD-LEAF-A01 to EMEA-DC-CLOUD-SPINE-A02
EMEA-DC-CLOUD-CABLE-0036-LEAFA01-SPINEA02,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-LEAF-A01:Ethernet54,dcim.interface,EMEA-DC-CLOUD-SPINE-A02:Ethernet2,,,Connection EMEA-DC-CLOUD-LEAF-A01 to EMEA-DC-CLOUD-SPINE-A02
EMEA-DC-CLOUD-CABLE-0037-LEAFA01-SPINEA02,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-LEAF-A01:Ethernet55,dcim.interface,EMEA-DC-CLOUD-SPINE-A02:Ethernet3,,,Connection EMEA-DC-CLOUD-LEAF-A01 to EMEA-DC-CLOUD-SPINE-A02
EMEA-DC-CLOUD-CABLE-0038-LEAFA01-SPINEA02,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-LEAF-A01:Ethernet56,dcim.interface,EMEA-DC-CLOUD-SPINE-A02:Ethernet4,,,Connection EMEA-DC-CLOUD-LEAF-A01 to EMEA-DC-CLOUD-SPINE-A02
EMEA-DC-CLOUD-CABLE-0039-LEAFA02-SPINEA01,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-LEAF-A02:Ethernet49,dcim.interface,EMEA-DC-CLOUD-SPINE-A01:Ethernet5,,,Connection EMEA-DC-CLOUD-LEAF-A02 to EMEA-DC-CLOUD-SPINE-A01
EMEA-DC-CLOUD-CABLE-0040-LEAFA02-SPINEA01,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-LEAF-A02:Ethernet50,dcim.interface,EMEA-DC-CLOUD-SPINE-A01:Ethernet6,,,Connection EMEA-DC-CLOUD-LEAF-A02 to EMEA-DC-CLOUD-SPINE-A01
EMEA-DC-CLOUD-CABLE-0041-LEAFA02-SPINEA01,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-LEAF-A02:Ethernet51,dcim.interface,EMEA-DC-CLOUD-SPINE-A01:Ethernet7,,,Connection EMEA-DC-CLOUD-LEAF-A02 to EMEA-DC-CLOUD-SPINE-A01
EMEA-DC-CLOUD-CABLE-0042-LEAFA02-SPINEA01,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-LEAF-A02:Ethernet52,dcim.interface,EMEA-DC-CLOUD-SPINE-A01:Ethernet8,,,Connection EMEA-DC-CLOUD-LEAF-A02 to EMEA-DC-CLOUD-SPINE-A01
EMEA-DC-CLOUD-CABLE-0043-LEAFA02-SPINEA02,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-LEAF-A02:Ethernet53,dcim.interface,EMEA-DC-CLOUD-SPINE-A02:Ethernet5,,,Connection EMEA-DC-CLOUD-LEAF-A02 to EMEA-DC-CLOUD-SPINE-A02
EMEA-DC-CLOUD-CABLE-0044-LEAFA02-SPINEA02,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-LEAF-A02:Ethernet54,dcim.interface,EMEA-DC-CLOUD-SPINE-A02:Ethernet6,,,Connection EMEA-DC-CLOUD-LEAF-A02 to EMEA-DC-CLOUD-SPINE-A02
EMEA-DC-CLOUD-CABLE-0045-LEAFA02-SPINEA02,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-LEAF-A02:Ethernet55,dcim.interface,EMEA-DC-CLOUD-SPINE-A02:Ethernet7,,,Connection EMEA-DC-CLOUD-LEAF-A02 to EMEA-DC-CLOUD-SPINE-A02
EMEA-DC-CLOUD-CABLE-0046-LEAFA02-SPINEA02,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-LEAF-A02:Ethernet56,dcim.interface,EMEA-DC-CLOUD-SPINE-A02:Ethernet8,,,Connection EMEA-DC-CLOUD-LEAF-A02 to EMEA-DC-CLOUD-SPINE-A02
EMEA-DC-CLOUD-CABLE-0047-EMEA-DC-CLOUD-ESX-A01-LEAF01,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-ESX-A01:eno1,dcim.interface,EMEA-DC-CLOUD-LEAF-A01:Ethernet1,,,Connection EMEA-DC-CLOUD-ESX-A01 to EMEA-DC-CLOUD-LEAF-A01
EMEA-DC-CLOUD-CABLE-0048-EMEA-DC-CLOUD-ESX-A01-LEAF01,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-ESX-A01:eno2,dcim.interface,EMEA-DC-CLOUD-LEAF-A01:Ethernet2,,,Connection EMEA-DC-CLOUD-ESX-A01 to EMEA-DC-CLOUD-LEAF-A01
EMEA-DC-CLOUD-CABLE-0049-EMEA-DC-CLOUD-ESX-A01-LEAF02,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-ESX-A01:eno3,dcim.interface,EMEA-DC-CLOUD-LEAF-A02:Ethernet1,,,Connection EMEA-DC-CLOUD-ESX-A01 to EMEA-DC-CLOUD-LEAF-A02
EMEA-DC-CLOUD-CABLE-0050-EMEA-DC-CLOUD-ESX-A01-LEAF02,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-ESX-A01:eno4,dcim.interface,EMEA-DC-CLOUD-LEAF-A02:Ethernet2,,,Connection EMEA-DC-CLOUD-ESX-A01 to EMEA-DC-CLOUD-LEAF-A02
EMEA-DC-CLOUD-CABLE-0051-EMEA-DC-CLOUD-ESX-A02-LEAF01,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-ESX-A02:eno1,dcim.interface,EMEA-DC-CLOUD-LEAF-A01:Ethernet3,,,Connection EMEA-DC-CLOUD-ESX-A02 to EMEA-DC-CLOUD-LEAF-A01
EMEA-DC-CLOUD-CABLE-0052-EMEA-DC-CLOUD-ESX-A02-LEAF01,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-ESX-A02:eno2,dcim.interface,EMEA-DC-CLOUD-LEAF-A01:Ethernet4,,,Connection EMEA-DC-CLOUD-ESX-A02 to EMEA-DC-CLOUD-LEAF-A01
EMEA-DC-CLOUD-CABLE-0053-EMEA-DC-CLOUD-ESX-A02-LEAF02,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-ESX-A02:eno3,dcim.interface,EMEA-DC-CLOUD-LEAF-A02:Ethernet3,,,Connection EMEA-DC-CLOUD-ESX-A02 to EMEA-DC-CLOUD-LEAF-A02
EMEA-DC-CLOUD-CABLE-0054-EMEA-DC-CLOUD-ESX-A02-LEAF02,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-ESX-A02:eno4,dcim.interface,EMEA-DC-CLOUD-LEAF-A02:Ethernet4,,,Connection EMEA-DC-CLOUD-ESX-A02 to EMEA-DC-CLOUD-LEAF-A02
EMEA-DC-CLOUD-CABLE-0055-EMEA-DC-CLOUD-ESX-A03-LEAF01,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-ESX-A03:eno1,dcim.interface,EMEA-DC-CLOUD-LEAF-A01:Ethernet5,,,Connection EMEA-DC-CLOUD-ESX-A03 to EMEA-DC-CLOUD-LEAF-A01
EMEA-DC-CLOUD-CABLE-0056-EMEA-DC-CLOUD-ESX-A03-LEAF01,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-ESX-A03:eno2,dcim.interface,EMEA-DC-CLOUD-LEAF-A01:Ethernet6,,,Connection EMEA-DC-CLOUD-ESX-A03 to EMEA-DC-CLOUD-LEAF-A01
EMEA-DC-CLOUD-CABLE-0057-EMEA-DC-CLOUD-ESX-A03-LEAF02,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-ESX-A03:eno3,dcim.interface,EMEA-DC-CLOUD-LEAF-A02:Ethernet5,,,Connection EMEA-DC-CLOUD-ESX-A03 to EMEA-DC-CLOUD-LEAF-A02
EMEA-DC-CLOUD-CABLE-0058-EMEA-DC-CLOUD-ESX-A03-LEAF02,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-ESX-A03:eno4,dcim.interface,EMEA-DC-CLOUD-LEAF-A02:Ethernet6,,,Connection EMEA-DC-CLOUD-ESX-A03 to EMEA-DC-CLOUD-LEAF-A02
EMEA-DC-CLOUD-CABLE-0059-EMEA-DC-CLOUD-ESX-A04-LEAF01,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-ESX-A04:eno1,dcim.interface,EMEA-DC-CLOUD-LEAF-A01:Ethernet7,,,Connection EMEA-DC-CLOUD-ESX-A04 to EMEA-DC-CLOUD-LEAF-A01
EMEA-DC-CLOUD-CABLE-0060-EMEA-DC-CLOUD-ESX-A04-LEAF01,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-ESX-A04:eno2,dcim.interface,EMEA-DC-CLOUD-LEAF-A01:Ethernet8,,,Connection EMEA-DC-CLOUD-ESX-A04 to EMEA-DC-CLOUD-LEAF-A01
EMEA-DC-CLOUD-CABLE-0061-EMEA-DC-CLOUD-ESX-A04-LEAF02,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-ESX-A04:eno3,dcim.interface,EMEA-DC-CLOUD-LEAF-A02:Ethernet7,,,Connection EMEA-DC-CLOUD-ESX-A04 to EMEA-DC-CLOUD-LEAF-A02
EMEA-DC-CLOUD-CABLE-0062-EMEA-DC-CLOUD-ESX-A04-LEAF02,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-ESX-A04:eno4,dcim.interface,EMEA-DC-CLOUD-LEAF-A02:Ethernet8,,,Connection EMEA-DC-CLOUD-ESX-A04 to EMEA-DC-CLOUD-LEAF-A02
EMEA-DC-CLOUD-CABLE-0063-EMEA-DC-CLOUD-ESX-A05-LEAF01,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-ESX-A05:eno1,dcim.interface,EMEA-DC-CLOUD-LEAF-A01:Ethernet9,,,Connection EMEA-DC-CLOUD-ESX-A05 to EMEA-DC-CLOUD-LEAF-A01
EMEA-DC-CLOUD-CABLE-0064-EMEA-DC-CLOUD-ESX-A05-LEAF01,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-ESX-A05:eno2,dcim.interface,EMEA-DC-CLOUD-LEAF-A01:Ethernet10,,,Connection EMEA-DC-CLOUD-ESX-A05 to EMEA-DC-CLOUD-LEAF-A01
EMEA-DC-CLOUD-CABLE-0065-EMEA-DC-CLOUD-ESX-A05-LEAF02,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-ESX-A05:eno3,dcim.interface,EMEA-DC-CLOUD-LEAF-A02:Ethernet9,,,Connection EMEA-DC-CLOUD-ESX-A05 to EMEA-DC-CLOUD-LEAF-A02
EMEA-DC-CLOUD-CABLE-0066-EMEA-DC-CLOUD-ESX-A05-LEAF02,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-ESX-A05:eno4,dcim.interface,EMEA-DC-CLOUD-LEAF-A02:Ethernet10,,,Connection EMEA-DC-CLOUD-ESX-A05 to EMEA-DC-CLOUD-LEAF-A02
EMEA-DC-CLOUD-CABLE-0067-EMEA-DC-CLOUD-ESX-A06-LEAF01,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-ESX-A06:eno1,dcim.interface,EMEA-DC-CLOUD-LEAF-A01:Ethernet11,,,Connection EMEA-DC-CLOUD-ESX-A06 to EMEA-DC-CLOUD-LEAF-A01
EMEA-DC-CLOUD-CABLE-0068-EMEA-DC-CLOUD-ESX-A06-LEAF01,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-ESX-A06:eno2,dcim.interface,EMEA-DC-CLOUD-LEAF-A01:Ethernet12,,,Connection EMEA-DC-CLOUD-ESX-A06 to EMEA-DC-CLOUD-LEAF-A01
EMEA-DC-CLOUD-CABLE-0069-EMEA-DC-CLOUD-ESX-A06-LEAF02,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-ESX-A06:eno3,dcim.interface,EMEA-DC-CLOUD-LEAF-A02:Ethernet11,,,Connection EMEA-DC-CLOUD-ESX-A06 to EMEA-DC-CLOUD-LEAF-A02
EMEA-DC-CLOUD-CABLE-0070-EMEA-DC-CLOUD-ESX-A06-LEAF02,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-ESX-A06:eno4,dcim.interface,EMEA-DC-CLOUD-LEAF-A02:Ethernet12,,,Connection EMEA-DC-CLOUD-ESX-A06 to EMEA-DC-CLOUD-LEAF-A02
EMEA-DC-CLOUD-CABLE-0071-SPINEB01-D01,aoc,connected,dcim.interface,EMEA-DC-CLOUD-SPINE-B01:Ethernet49,dcim.interface,EMEA-DC-CLOUD-DIST-SW01:Ethernet1/40,,,Connection EMEA-DC-CLOUD-SPINE-B01 to EMEA-DC-CLOUD-DIST-SW01
EMEA-DC-CLOUD-CABLE-0072-SPINEB01-D02,aoc,connected,dcim.interface,EMEA-DC-CLOUD-SPINE-B01:Ethernet50,dcim.interface,EMEA-DC-CLOUD-DIST-SW02:Ethernet1/40,,,Connection EMEA-DC-CLOUD-SPINE-B01 to EMEA-DC-CLOUD-DIST-SW02
EMEA-DC-CLOUD-CABLE-0073-SPINEB02-D01,aoc,connected,dcim.interface,EMEA-DC-CLOUD-SPINE-B02:Ethernet49,dcim.interface,EMEA-DC-CLOUD-DIST-SW01:Ethernet1/41,,,Connection EMEA-DC-CLOUD-SPINE-B02 to EMEA-DC-CLOUD-DIST-SW01
EMEA-DC-CLOUD-CABLE-0074-SPINEB02-D02,aoc,connected,dcim.interface,EMEA-DC-CLOUD-SPINE-B02:Ethernet50,dcim.interface,EMEA-DC-CLOUD-DIST-SW02:Ethernet1/41,,,Connection EMEA-DC-CLOUD-SPINE-B02 to EMEA-DC-CLOUD-DIST-SW02
EMEA-DC-CLOUD-CABLE-0075-LEAFB01-SPINEB01,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-LEAF-B01:Ethernet49,dcim.interface,EMEA-DC-CLOUD-SPINE-B01:Ethernet1,,,Connection EMEA-DC-CLOUD-LEAF-B01 to EMEA-DC-CLOUD-SPINE-B01
EMEA-DC-CLOUD-CABLE-0076-LEAFB01-SPINEB01,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-LEAF-B01:Ethernet50,dcim.interface,EMEA-DC-CLOUD-SPINE-B01:Ethernet2,,,Connection EMEA-DC-CLOUD-LEAF-B01 to EMEA-DC-CLOUD-SPINE-B01
EMEA-DC-CLOUD-CABLE-0077-LEAFB01-SPINEB01,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-LEAF-B01:Ethernet51,dcim.interface,EMEA-DC-CLOUD-SPINE-B01:Ethernet3,,,Connection EMEA-DC-CLOUD-LEAF-B01 to EMEA-DC-CLOUD-SPINE-B01
EMEA-DC-CLOUD-CABLE-0078-LEAFB01-SPINEB01,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-LEAF-B01:Ethernet52,dcim.interface,EMEA-DC-CLOUD-SPINE-B01:Ethernet4,,,Connection EMEA-DC-CLOUD-LEAF-B01 to EMEA-DC-CLOUD-SPINE-B01
EMEA-DC-CLOUD-CABLE-0079-LEAFB01-SPINEB02,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-LEAF-B01:Ethernet53,dcim.interface,EMEA-DC-CLOUD-SPINE-B02:Ethernet1,,,Connection EMEA-DC-CLOUD-LEAF-B01 to EMEA-DC-CLOUD-SPINE-B02
EMEA-DC-CLOUD-CABLE-0080-LEAFB01-SPINEB02,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-LEAF-B01:Ethernet54,dcim.interface,EMEA-DC-CLOUD-SPINE-B02:Ethernet2,,,Connection EMEA-DC-CLOUD-LEAF-B01 to EMEA-DC-CLOUD-SPINE-B02
EMEA-DC-CLOUD-CABLE-0081-LEAFB01-SPINEB02,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-LEAF-B01:Ethernet55,dcim.interface,EMEA-DC-CLOUD-SPINE-B02:Ethernet3,,,Connection EMEA-DC-CLOUD-LEAF-B01 to EMEA-DC-CLOUD-SPINE-B02
EMEA-DC-CLOUD-CABLE-0082-LEAFB01-SPINEB02,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-LEAF-B01:Ethernet56,dcim.interface,EMEA-DC-CLOUD-SPINE-B02:Ethernet4,,,Connection EMEA-DC-CLOUD-LEAF-B01 to EMEA-DC-CLOUD-SPINE-B02
EMEA-DC-CLOUD-CABLE-0083-LEAFB02-SPINEB01,dac-active,connected,dcim.interface,EMEA-DC-CLOUD-LEAF-B02:Ethernet49,dcim.interface,EMEA-DC-CLOUD-SPINE-B01:Ethernet5,,,Connection EMEA-DC-CLOUD-LEAF-B02 to EMEA-DC-CLOUD-SPINE-B01
