cid,provider,type,status,site,commit_rate,description,tags
MO-Agency2-BKP-001,PCCW Global,Internet Backup,active,MO-Agency2,500000,Backup Internet circuit for MO-Agency2,circuit-backup
MN-Agency1-PRI-001,NTT Communications,Internet Primary,active,MN-Agency1,1000000,Primary Internet circuit for MN-Agency1,circuit-primary
MN-Agency1-BKP-001,PCCW Global,Internet Backup,active,MN-Agency1,500000,Backup Internet circuit for MN-Agency1,circuit-backup
MN-Agency2-PRI-001,NTT Communications,Internet Primary,active,MN-Agency2,1000000,Primary Internet circuit for MN-Agency2,circuit-primary
MN-Agency2-BKP-001,PCCW Global,Internet Backup,active,MN-Agency2,500000,Backup Internet circuit for MN-Agency2,circuit-backup
SG-Agency1-PRI-001,NTT Communications,Internet Primary,active,SG-Agency1,1000000,Primary Internet circuit for SG-Agency1,circuit-primary
SG-Agency1-BKP-001,PCCW Global,Internet Backup,active,SG-Agency1,500000,Backup Internet circuit for SG-Agency1,circuit-backup
SG-Agency2-PRI-001,NTT Communications,Internet Primary,active,SG-Agency2,1000000,Primary Internet circuit for SG-Agency2,circuit-primary
SG-Agency2-BKP-001,PCCW Global,Internet Backup,active,SG-Agency2,500000,Backup Internet circuit for SG-Agency2,circuit-backup
MY-Agency1-PRI-001,NTT Communications,Internet Primary,active,MY-Agency1,1000000,Primary Internet circuit for MY-Agency1,circuit-primary
MY-Agency1-BKP-001,PCCW Global,Internet Backup,active,MY-Agency1,500000,Backup Internet circuit for MY-Agency1,circuit-backup
MY-Agency2-PRI-001,NTT Communications,Internet Primary,active,MY-Agency2,1000000,Primary Internet circuit for MY-Agency2,circuit-primary
MY-Agency2-BKP-001,PCCW Global,Internet Backup,active,MY-Agency2,500000,Backup Internet circuit for MY-Agency2,circuit-backup
TH-Agency1-PRI-001,NTT Communications,Internet Primary,active,TH-Agency1,1000000,Primary Internet circuit for TH-Agency1,circuit-primary
TH-Agency1-BKP-001,PCCW Global,Internet Backup,active,TH-Agency1,500000,Backup Internet circuit for TH-Agency1,circuit-backup
TH-Agency2-PRI-001,NTT Communications,Internet Primary,active,TH-Agency2,1000000,Primary Internet circuit for TH-Agency2,circuit-primary
TH-Agency2-BKP-001,PCCW Global,Internet Backup,active,TH-Agency2,500000,Backup Internet circuit for TH-Agency2,circuit-backup
ID-Agency1-PRI-001,NTT Communications,Internet Primary,active,ID-Agency1,1000000,Primary Internet circuit for ID-Agency1,circuit-primary
ID-Agency1-BKP-001,PCCW Global,Internet Backup,active,ID-Agency1,500000,Backup Internet circuit for ID-Agency1,circuit-backup
ID-Agency2-PRI-001,NTT Communications,Internet Primary,active,ID-Agency2,1000000,Primary Internet circuit for ID-Agency2,circuit-primary
ID-Agency2-BKP-001,PCCW Global,Internet Backup,active,ID-Agency2,500000,Backup Internet circuit for ID-Agency2,circuit-backup
VN-Agency1-PRI-001,NTT Communications,Internet Primary,active,VN-Agency1,1000000,Primary Internet circuit for VN-Agency1,circuit-primary
VN-Agency1-BKP-001,PCCW Global,Internet Backup,active,VN-Agency1,500000,Backup Internet circuit for VN-Agency1,circuit-backup
VN-Agency2-PRI-001,NTT Communications,Internet Primary,active,VN-Agency2,1000000,Primary Internet circuit for VN-Agency2,circuit-primary
VN-Agency2-BKP-001,PCCW Global,Internet Backup,active,VN-Agency2,500000,Backup Internet circuit for VN-Agency2,circuit-backup
PH-Agency1-PRI-001,NTT Communications,Internet Primary,active,PH-Agency1,1000000,Primary Internet circuit for PH-Agency1,circuit-primary
PH-Agency1-BKP-001,PCCW Global,Internet Backup,active,PH-Agency1,500000,Backup Internet circuit for PH-Agency1,circuit-backup
PH-Agency2-PRI-001,NTT Communications,Internet Primary,active,PH-Agency2,1000000,Primary Internet circuit for PH-Agency2,circuit-primary
PH-Agency2-BKP-001,PCCW Global,Internet Backup,active,PH-Agency2,500000,Backup Internet circuit for PH-Agency2,circuit-backup
MM-Agency1-PRI-001,NTT Communications,Internet Primary,active,MM-Agency1,1000000,Primary Internet circuit for MM-Agency1,circuit-primary
MM-Agency1-BKP-001,PCCW Global,Internet Backup,active,MM-Agency1,500000,Backup Internet circuit for MM-Agency1,circuit-backup
MM-Agency2-PRI-001,NTT Communications,Internet Primary,active,MM-Agency2,1000000,Primary Internet circuit for MM-Agency2,circuit-primary
MM-Agency2-BKP-001,PCCW Global,Internet Backup,active,MM-Agency2,500000,Backup Internet circuit for MM-Agency2,circuit-backup
KH-Agency1-PRI-001,NTT Communications,Internet Primary,active,KH-Agency1,1000000,Primary Internet circuit for KH-Agency1,circuit-primary
KH-Agency1-BKP-001,PCCW Global,Internet Backup,active,KH-Agency1,500000,Backup Internet circuit for KH-Agency1,circuit-backup
KH-Agency2-PRI-001,NTT Communications,Internet Primary,active,KH-Agency2,1000000,Primary Internet circuit for KH-Agency2,circuit-primary
KH-Agency2-BKP-001,PCCW Global,Internet Backup,active,KH-Agency2,500000,Backup Internet circuit for KH-Agency2,circuit-backup
LA-Agency1-PRI-001,NTT Communications,Internet Primary,active,LA-Agency1,1000000,Primary Internet circuit for LA-Agency1,circuit-primary
LA-Agency1-BKP-001,PCCW Global,Internet Backup,active,LA-Agency1,500000,Backup Internet circuit for LA-Agency1,circuit-backup
LA-Agency2-PRI-001,NTT Communications,Internet Primary,active,LA-Agency2,1000000,Primary Internet circuit for LA-Agency2,circuit-primary
LA-Agency2-BKP-001,PCCW Global,Internet Backup,active,LA-Agency2,500000,Backup Internet circuit for LA-Agency2,circuit-backup
BN-Agency1-PRI-001,NTT Communications,Internet Primary,active,BN-Agency1,1000000,Primary Internet circuit for BN-Agency1,circuit-primary
BN-Agency1-BKP-001,PCCW Global,Internet Backup,active,BN-Agency1,500000,Backup Internet circuit for BN-Agency1,circuit-backup
BN-Agency2-PRI-001,NTT Communications,Internet Primary,active,BN-Agency2,1000000,Primary Internet circuit for BN-Agency2,circuit-primary
BN-Agency2-BKP-001,PCCW Global,Internet Backup,active,BN-Agency2,500000,Backup Internet circuit for BN-Agency2,circuit-backup
TL-Agency1-PRI-001,NTT Communications,Internet Primary,active,TL-Agency1,1000000,Primary Internet circuit for TL-Agency1,circuit-primary
TL-Agency1-BKP-001,PCCW Global,Internet Backup,active,TL-Agency1,500000,Backup Internet circuit for TL-Agency1,circuit-backup
TL-Agency2-PRI-001,NTT Communications,Internet Primary,active,TL-Agency2,1000000,Primary Internet circuit for TL-Agency2,circuit-primary
TL-Agency2-BKP-001,PCCW Global,Internet Backup,active,TL-Agency2,500000,Backup Internet circuit for TL-Agency2,circuit-backup
IN-Agency1-PRI-001,NTT Communications,Internet Primary,active,IN-Agency1,1000000,Primary Internet circuit for IN-Agency1,circuit-primary
IN-Agency1-BKP-001,PCCW Global,Internet Backup,active,IN-Agency1,500000,Backup Internet circuit for IN-Agency1,circuit-backup
IN-Agency2-PRI-001,NTT Communications,Internet Primary,active,IN-Agency2,1000000,Primary Internet circuit for IN-Agency2,circuit-primary
IN-Agency2-BKP-001,PCCW Global,Internet Backup,active,IN-Agency2,500000,Backup Internet circuit for IN-Agency2,circuit-backup
PK-Agency1-PRI-001,NTT Communications,Internet Primary,active,PK-Agency1,1000000,Primary Internet circuit for PK-Agency1,circuit-primary
PK-Agency1-BKP-001,PCCW Global,Internet Backup,active,PK-Agency1,500000,Backup Internet circuit for PK-Agency1,circuit-backup
PK-Agency2-PRI-001,NTT Communications,Internet Primary,active,PK-Agency2,1000000,Primary Internet circuit for PK-Agency2,circuit-primary
PK-Agency2-BKP-001,PCCW Global,Internet Backup,active,PK-Agency2,500000,Backup Internet circuit for PK-Agency2,circuit-backup
BD-Agency1-PRI-001,NTT Communications,Internet Primary,active,BD-Agency1,1000000,Primary Internet circuit for BD-Agency1,circuit-primary
BD-Agency1-BKP-001,PCCW Global,Internet Backup,active,BD-Agency1,500000,Backup Internet circuit for BD-Agency1,circuit-backup
BD-Agency2-PRI-001,NTT Communications,Internet Primary,active,BD-Agency2,1000000,Primary Internet circuit for BD-Agency2,circuit-primary
BD-Agency2-BKP-001,PCCW Global,Internet Backup,active,BD-Agency2,500000,Backup Internet circuit for BD-Agency2,circuit-backup
LK-Agency1-PRI-001,NTT Communications,Internet Primary,active,LK-Agency1,1000000,Primary Internet circuit for LK-Agency1,circuit-primary
LK-Agency1-BKP-001,PCCW Global,Internet Backup,active,LK-Agency1,500000,Backup Internet circuit for LK-Agency1,circuit-backup
LK-Agency2-PRI-001,NTT Communications,Internet Primary,active,LK-Agency2,1000000,Primary Internet circuit for LK-Agency2,circuit-primary
LK-Agency2-BKP-001,PCCW Global,Internet Backup,active,LK-Agency2,500000,Backup Internet circuit for LK-Agency2,circuit-backup
NP-Agency1-PRI-001,NTT Communications,Internet Primary,active,NP-Agency1,1000000,Primary Internet circuit for NP-Agency1,circuit-primary
NP-Agency1-BKP-001,PCCW Global,Internet Backup,active,NP-Agency1,500000,Backup Internet circuit for NP-Agency1,circuit-backup
NP-Agency2-PRI-001,NTT Communications,Internet Primary,active,NP-Agency2,1000000,Primary Internet circuit for NP-Agency2,circuit-primary
NP-Agency2-BKP-001,PCCW Global,Internet Backup,active,NP-Agency2,500000,Backup Internet circuit for NP-Agency2,circuit-backup
BT-Agency1-PRI-001,NTT Communications,Internet Primary,active,BT-Agency1,1000000,Primary Internet circuit for BT-Agency1,circuit-primary
BT-Agency1-BKP-001,PCCW Global,Internet Backup,active,BT-Agency1,500000,Backup Internet circuit for BT-Agency1,circuit-backup
BT-Agency2-PRI-001,NTT Communications,Internet Primary,active,BT-Agency2,1000000,Primary Internet circuit for BT-Agency2,circuit-primary
BT-Agency2-BKP-001,PCCW Global,Internet Backup,active,BT-Agency2,500000,Backup Internet circuit for BT-Agency2,circuit-backup
MV-Agency1-PRI-001,NTT Communications,Internet Primary,active,MV-Agency1,1000000,Primary Internet circuit for MV-Agency1,circuit-primary
MV-Agency1-BKP-001,PCCW Global,Internet Backup,active,MV-Agency1,500000,Backup Internet circuit for MV-Agency1,circuit-backup
MV-Agency2-PRI-001,NTT Communications,Internet Primary,active,MV-Agency2,1000000,Primary Internet circuit for MV-Agency2,circuit-primary
MV-Agency2-BKP-001,PCCW Global,Internet Backup,active,MV-Agency2,500000,Backup Internet circuit for MV-Agency2,circuit-backup
AF-Agency1-PRI-001,NTT Communications,Internet Primary,active,AF-Agency1,1000000,Primary Internet circuit for AF-Agency1,circuit-primary
AF-Agency1-BKP-001,PCCW Global,Internet Backup,active,AF-Agency1,500000,Backup Internet circuit for AF-Agency1,circuit-backup
AF-Agency2-PRI-001,NTT Communications,Internet Primary,active,AF-Agency2,1000000,Primary Internet circuit for AF-Agency2,circuit-primary
AF-Agency2-BKP-001,PCCW Global,Internet Backup,active,AF-Agency2,500000,Backup Internet circuit for AF-Agency2,circuit-backup
AU-Agency1-PRI-001,NTT Communications,Internet Primary,active,AU-Agency1,1000000,Primary Internet circuit for AU-Agency1,circuit-primary
AU-Agency1-BKP-001,PCCW Global,Internet Backup,active,AU-Agency1,500000,Backup Internet circuit for AU-Agency1,circuit-backup
AU-Agency2-PRI-001,NTT Communications,Internet Primary,active,AU-Agency2,1000000,Primary Internet circuit for AU-Agency2,circuit-primary
AU-Agency2-BKP-001,PCCW Global,Internet Backup,active,AU-Agency2,500000,Backup Internet circuit for AU-Agency2,circuit-backup
NZ-Agency1-PRI-001,NTT Communications,Internet Primary,active,NZ-Agency1,1000000,Primary Internet circuit for NZ-Agency1,circuit-primary
NZ-Agency1-BKP-001,PCCW Global,Internet Backup,active,NZ-Agency1,500000,Backup Internet circuit for NZ-Agency1,circuit-backup
NZ-Agency2-PRI-001,NTT Communications,Internet Primary,active,NZ-Agency2,1000000,Primary Internet circuit for NZ-Agency2,circuit-primary
NZ-Agency2-BKP-001,PCCW Global,Internet Backup,active,NZ-Agency2,500000,Backup Internet circuit for NZ-Agency2,circuit-backup
PG-Agency1-PRI-001,NTT Communications,Internet Primary,active,PG-Agency1,1000000,Primary Internet circuit for PG-Agency1,circuit-primary
PG-Agency1-BKP-001,PCCW Global,Internet Backup,active,PG-Agency1,500000,Backup Internet circuit for PG-Agency1,circuit-backup
PG-Agency2-PRI-001,NTT Communications,Internet Primary,active,PG-Agency2,1000000,Primary Internet circuit for PG-Agency2,circuit-primary
PG-Agency2-BKP-001,PCCW Global,Internet Backup,active,PG-Agency2,500000,Backup Internet circuit for PG-Agency2,circuit-backup
FJ-Agency1-PRI-001,NTT Communications,Internet Primary,active,FJ-Agency1,1000000,Primary Internet circuit for FJ-Agency1,circuit-primary
FJ-Agency1-BKP-001,PCCW Global,Internet Backup,active,FJ-Agency1,500000,Backup Internet circuit for FJ-Agency1,circuit-backup
FJ-Agency2-PRI-001,NTT Communications,Internet Primary,active,FJ-Agency2,1000000,Primary Internet circuit for FJ-Agency2,circuit-primary
FJ-Agency2-BKP-001,PCCW Global,Internet Backup,active,FJ-Agency2,500000,Backup Internet circuit for FJ-Agency2,circuit-backup
WS-Agency1-PRI-001,NTT Communications,Internet Primary,active,WS-Agency1,1000000,Primary Internet circuit for WS-Agency1,circuit-primary
WS-Agency1-BKP-001,PCCW Global,Internet Backup,active,WS-Agency1,500000,Backup Internet circuit for WS-Agency1,circuit-backup
WS-Agency2-PRI-001,NTT Communications,Internet Primary,active,WS-Agency2,1000000,Primary Internet circuit for WS-Agency2,circuit-primary
WS-Agency2-BKP-001,PCCW Global,Internet Backup,active,WS-Agency2,500000,Backup Internet circuit for WS-Agency2,circuit-backup
TO-Agency1-PRI-001,NTT Communications,Internet Primary,active,TO-Agency1,1000000,Primary Internet circuit for TO-Agency1,circuit-primary
TO-Agency1-BKP-001,PCCW Global,Internet Backup,active,TO-Agency1,500000,Backup Internet circuit for TO-Agency1,circuit-backup
TO-Agency2-PRI-001,NTT Communications,Internet Primary,active,TO-Agency2,1000000,Primary Internet circuit for TO-Agency2,circuit-primary
TO-Agency2-BKP-001,PCCW Global,Internet Backup,active,TO-Agency2,500000,Backup Internet circuit for TO-Agency2,circuit-backup
VU-Agency1-PRI-001,NTT Communications,Internet Primary,active,VU-Agency1,1000000,Primary Internet circuit for VU-Agency1,circuit-primary
VU-Agency1-BKP-001,PCCW Global,Internet Backup,active,VU-Agency1,500000,Backup Internet circuit for VU-Agency1,circuit-backup
VU-Agency2-PRI-001,NTT Communications,Internet Primary,active,VU-Agency2,1000000,Primary Internet circuit for VU-Agency2,circuit-primary
VU-Agency2-BKP-001,PCCW Global,Internet Backup,active,VU-Agency2,500000,Backup Internet circuit for VU-Agency2,circuit-backup
SB-Agency1-PRI-001,NTT Communications,Internet Primary,active,SB-Agency1,1000000,Primary Internet circuit for SB-Agency1,circuit-primary
SB-Agency1-BKP-001,PCCW Global,Internet Backup,active,SB-Agency1,500000,Backup Internet circuit for SB-Agency1,circuit-backup
SB-Agency2-PRI-001,NTT Communications,Internet Primary,active,SB-Agency2,1000000,Primary Internet circuit for SB-Agency2,circuit-primary
SB-Agency2-BKP-001,PCCW Global,Internet Backup,active,SB-Agency2,500000,Backup Internet circuit for SB-Agency2,circuit-backup
NC-Agency1-PRI-001,NTT Communications,Internet Primary,active,NC-Agency1,1000000,Primary Internet circuit for NC-Agency1,circuit-primary
NC-Agency1-BKP-001,PCCW Global,Internet Backup,active,NC-Agency1,500000,Backup Internet circuit for NC-Agency1,circuit-backup
NC-Agency2-PRI-001,NTT Communications,Internet Primary,active,NC-Agency2,1000000,Primary Internet circuit for NC-Agency2,circuit-primary
NC-Agency2-BKP-001,PCCW Global,Internet Backup,active,NC-Agency2,500000,Backup Internet circuit for NC-Agency2,circuit-backup
PF-Agency1-PRI-001,NTT Communications,Internet Primary,active,PF-Agency1,1000000,Primary Internet circuit for PF-Agency1,circuit-primary
PF-Agency1-BKP-001,PCCW Global,Internet Backup,active,PF-Agency1,500000,Backup Internet circuit for PF-Agency1,circuit-backup
PF-Agency2-PRI-001,NTT Communications,Internet Primary,active,PF-Agency2,1000000,Primary Internet circuit for PF-Agency2,circuit-primary
PF-Agency2-BKP-001,PCCW Global,Internet Backup,active,PF-Agency2,500000,Backup Internet circuit for PF-Agency2,circuit-backup
GU-Agency1-PRI-001,NTT Communications,Internet Primary,active,GU-Agency1,1000000,Primary Internet circuit for GU-Agency1,circuit-primary
GU-Agency1-BKP-001,PCCW Global,Internet Backup,active,GU-Agency1,500000,Backup Internet circuit for GU-Agency1,circuit-backup
GU-Agency2-PRI-001,NTT Communications,Internet Primary,active,GU-Agency2,1000000,Primary Internet circuit for GU-Agency2,circuit-primary
GU-Agency2-BKP-001,PCCW Global,Internet Backup,active,GU-Agency2,500000,Backup Internet circuit for GU-Agency2,circuit-backup
PW-Agency1-PRI-001,NTT Communications,Internet Primary,active,PW-Agency1,1000000,Primary Internet circuit for PW-Agency1,circuit-primary
PW-Agency1-BKP-001,PCCW Global,Internet Backup,active,PW-Agency1,500000,Backup Internet circuit for PW-Agency1,circuit-backup
PW-Agency2-PRI-001,NTT Communications,Internet Primary,active,PW-Agency2,1000000,Primary Internet circuit for PW-Agency2,circuit-primary
PW-Agency2-BKP-001,PCCW Global,Internet Backup,active,PW-Agency2,500000,Backup Internet circuit for PW-Agency2,circuit-backup
FM-Agency1-PRI-001,NTT Communications,Internet Primary,active,FM-Agency1,1000000,Primary Internet circuit for FM-Agency1,circuit-primary
FM-Agency1-BKP-001,PCCW Global,Internet Backup,active,FM-Agency1,500000,Backup Internet circuit for FM-Agency1,circuit-backup
FM-Agency2-PRI-001,NTT Communications,Internet Primary,active,FM-Agency2,1000000,Primary Internet circuit for FM-Agency2,circuit-primary
FM-Agency2-BKP-001,PCCW Global,Internet Backup,active,FM-Agency2,500000,Backup Internet circuit for FM-Agency2,circuit-backup
MH-Agency1-PRI-001,NTT Communications,Internet Primary,active,MH-Agency1,1000000,Primary Internet circuit for MH-Agency1,circuit-primary
MH-Agency1-BKP-001,PCCW Global,Internet Backup,active,MH-Agency1,500000,Backup Internet circuit for MH-Agency1,circuit-backup
MH-Agency2-PRI-001,NTT Communications,Internet Primary,active,MH-Agency2,1000000,Primary Internet circuit for MH-Agency2,circuit-primary
MH-Agency2-BKP-001,PCCW Global,Internet Backup,active,MH-Agency2,500000,Backup Internet circuit for MH-Agency2,circuit-backup
KI-Agency1-PRI-001,NTT Communications,Internet Primary,active,KI-Agency1,1000000,Primary Internet circuit for KI-Agency1,circuit-primary
KI-Agency1-BKP-001,PCCW Global,Internet Backup,active,KI-Agency1,500000,Backup Internet circuit for KI-Agency1,circuit-backup
KI-Agency2-PRI-001,NTT Communications,Internet Primary,active,KI-Agency2,1000000,Primary Internet circuit for KI-Agency2,circuit-primary
KI-Agency2-BKP-001,PCCW Global,Internet Backup,active,KI-Agency2,500000,Backup Internet circuit for KI-Agency2,circuit-backup
NR-Agency1-PRI-001,NTT Communications,Internet Primary,active,NR-Agency1,1000000,Primary Internet circuit for NR-Agency1,circuit-primary
NR-Agency1-BKP-001,PCCW Global,Internet Backup,active,NR-Agency1,500000,Backup Internet circuit for NR-Agency1,circuit-backup
NR-Agency2-PRI-001,NTT Communications,Internet Primary,active,NR-Agency2,1000000,Primary Internet circuit for NR-Agency2,circuit-primary
NR-Agency2-BKP-001,PCCW Global,Internet Backup,active,NR-Agency2,500000,Backup Internet circuit for NR-Agency2,circuit-backup
TV-Agency1-PRI-001,NTT Communications,Internet Primary,active,TV-Agency1,1000000,Primary Internet circuit for TV-Agency1,circuit-primary
TV-Agency1-BKP-001,PCCW Global,Internet Backup,active,TV-Agency1,500000,Backup Internet circuit for TV-Agency1,circuit-backup
TV-Agency2-PRI-001,NTT Communications,Internet Primary,active,TV-Agency2,1000000,Primary Internet circuit for TV-Agency2,circuit-primary
TV-Agency2-BKP-001,PCCW Global,Internet Backup,active,TV-Agency2,500000,Backup Internet circuit for TV-Agency2,circuit-backup
KZ-Agency1-PRI-001,NTT Communications,Internet Primary,active,KZ-Agency1,1000000,Primary Internet circuit for KZ-Agency1,circuit-primary
KZ-Agency1-BKP-001,PCCW Global,Internet Backup,active,KZ-Agency1,500000,Backup Internet circuit for KZ-Agency1,circuit-backup
KZ-Agency2-PRI-001,NTT Communications,Internet Primary,active,KZ-Agency2,1000000,Primary Internet circuit for KZ-Agency2,circuit-primary
KZ-Agency2-BKP-001,PCCW Global,Internet Backup,active,KZ-Agency2,500000,Backup Internet circuit for KZ-Agency2,circuit-backup
UZ-Agency1-PRI-001,NTT Communications,Internet Primary,active,UZ-Agency1,1000000,Primary Internet circuit for UZ-Agency1,circuit-primary
UZ-Agency1-BKP-001,PCCW Global,Internet Backup,active,UZ-Agency1,500000,Backup Internet circuit for UZ-Agency1,circuit-backup
UZ-Agency2-PRI-001,NTT Communications,Internet Primary,active,UZ-Agency2,1000000,Primary Internet circuit for UZ-Agency2,circuit-primary
UZ-Agency2-BKP-001,PCCW Global,Internet Backup,active,UZ-Agency2,500000,Backup Internet circuit for UZ-Agency2,circuit-backup
TM-Agency1-PRI-001,NTT Communications,Internet Primary,active,TM-Agency1,1000000,Primary Internet circuit for TM-Agency1,circuit-primary
TM-Agency1-BKP-001,PCCW Global,Internet Backup,active,TM-Agency1,500000,Backup Internet circuit for TM-Agency1,circuit-backup
TM-Agency2-PRI-001,NTT Communications,Internet Primary,active,TM-Agency2,1000000,Primary Internet circuit for TM-Agency2,circuit-primary
TM-Agency2-BKP-001,PCCW Global,Internet Backup,active,TM-Agency2,500000,Backup Internet circuit for TM-Agency2,circuit-backup
KG-Agency1-PRI-001,NTT Communications,Internet Primary,active,KG-Agency1,1000000,Primary Internet circuit for KG-Agency1,circuit-primary
KG-Agency1-BKP-001,PCCW Global,Internet Backup,active,KG-Agency1,500000,Backup Internet circuit for KG-Agency1,circuit-backup
KG-Agency2-PRI-001,NTT Communications,Internet Primary,active,KG-Agency2,1000000,Primary Internet circuit for KG-Agency2,circuit-primary
KG-Agency2-BKP-001,PCCW Global,Internet Backup,active,KG-Agency2,500000,Backup Internet circuit for KG-Agency2,circuit-backup
TJ-Agency1-PRI-001,NTT Communications,Internet Primary,active,TJ-Agency1,1000000,Primary Internet circuit for TJ-Agency1,circuit-primary
TJ-Agency1-BKP-001,PCCW Global,Internet Backup,active,TJ-Agency1,500000,Backup Internet circuit for TJ-Agency1,circuit-backup
TJ-Agency2-PRI-001,NTT Communications,Internet Primary,active,TJ-Agency2,1000000,Primary Internet circuit for TJ-Agency2,circuit-primary
TJ-Agency2-BKP-001,PCCW Global,Internet Backup,active,TJ-Agency2,500000,Backup Internet circuit for TJ-Agency2,circuit-backup
