name,slug,color,description
Latvia,latvia,6c757d,Country: Latvia
Lebanon,lebanon,6c757d,Country: Lebanon
Lithuania,lithuania,6c757d,Country: Lithuania
Luxembourg,luxembourg,6c757d,Country: Luxembourg
Macau,macau,6c757d,Country: Macau
Malaysia,malaysia,6c757d,Country: Malaysia
Maldives,maldives,6c757d,Country: Maldives
Malta,malta,6c757d,Country: Malta
Marshall Islands,marshall-islands,6c757d,Country: Marshall Islands
Mauritius,mauritius,6c757d,Country: Mauritius
Mexico,mexico,6c757d,Country: Mexico
Micronesia,micronesia,6c757d,Country: Micronesia
Monaco,monaco,6c757d,Country: Monaco
Mongolia,mongolia,6c757d,Country: Mongolia
Morocco,morocco,6c757d,Country: Morocco
Myanmar,myanmar,6c757d,Country: Myanmar
Nauru,nauru,6c757d,Country: Nauru
Nepal,nepal,6c757d,Country: Nepal
Netherlands,netherlands,6c757d,Country: Netherlands
New Caledonia,new-caledonia,6c757d,Country: New Caledonia
New Zealand,new-zealand,6c757d,Country: New Zealand
Nicaragua,nicaragua,6c757d,Country: Nicaragua
Nigeria,nigeria,6c757d,Country: Nigeria
Norway,norway,6c757d,Country: Norway
Oman,oman,6c757d,Country: Oman
Pakistan,pakistan,6c757d,Country: Pakistan
Palau,palau,6c757d,Country: Palau
Panama,panama,6c757d,Country: Panama
Papua New Guinea,papua-new-guinea,6c757d,Country: Papua New Guinea
Paraguay,paraguay,6c757d,Country: Paraguay
Peru,peru,6c757d,Country: Peru
Philippines,philippines,6c757d,Country: Philippines
Poland,poland,6c757d,Country: Poland
Portugal,portugal,6c757d,Country: Portugal
Puerto Rico,puerto-rico,6c757d,Country: Puerto Rico
Qatar,qatar,6c757d,Country: Qatar
Romania,romania,6c757d,Country: Romania
Saint Kitts And Nevis,saint-kitts-and-nevis,6c757d,Country: Saint Kitts And Nevis
Saint Lucia,saint-lucia,6c757d,Country: Saint Lucia
Saint Vincent,saint-vincent,6c757d,Country: Saint Vincent
Samoa,samoa,6c757d,Country: Samoa
San Marino,san-marino,6c757d,Country: San Marino
Saudi Arabia,saudi-arabia,6c757d,Country: Saudi Arabia
Senegal,senegal,6c757d,Country: Senegal
Serbia,serbia,6c757d,Country: Serbia
Singapore,singapore,6c757d,Country: Singapore
Slovakia,slovakia,6c757d,Country: Slovakia
Slovenia,slovenia,6c757d,Country: Slovenia
Solomon Islands,solomon-islands,6c757d,Country: Solomon Islands
South Africa,south-africa,6c757d,Country: South Africa
South Korea,south-korea,6c757d,Country: South Korea
Spain,spain,6c757d,Country: Spain
Sri Lanka,sri-lanka,6c757d,Country: Sri Lanka
Suriname,suriname,6c757d,Country: Suriname
Sweden,sweden,6c757d,Country: Sweden
Switzerland,switzerland,6c757d,Country: Switzerland
Taiwan,taiwan,6c757d,Country: Taiwan
Tajikistan,tajikistan,6c757d,Country: Tajikistan
Thailand,thailand,6c757d,Country: Thailand
Timor Leste,timor-leste,6c757d,Country: Timor Leste
Tonga,tonga,6c757d,Country: Tonga
Trinidad And Tobago,trinidad-and-tobago,6c757d,Country: Trinidad And Tobago
Tunisia,tunisia,6c757d,Country: Tunisia
Turkey,turkey,6c757d,Country: Turkey
Turkmenistan,turkmenistan,6c757d,Country: Turkmenistan
Tuvalu,tuvalu,6c757d,Country: Tuvalu
Ukraine,ukraine,6c757d,Country: Ukraine
United Arab Emirates,united-arab-emirates,6c757d,Country: United Arab Emirates
United Kingdom,united-kingdom,6c757d,Country: United Kingdom
United States,united-states,6c757d,Country: United States
Uruguay,uruguay,6c757d,Country: Uruguay
Us Virgin Islands,us-virgin-islands,6c757d,Country: Us Virgin Islands
Uzbekistan,uzbekistan,6c757d,Country: Uzbekistan
Vanuatu,vanuatu,6c757d,Country: Vanuatu
Venezuela,venezuela,6c757d,Country: Venezuela
Vietnam,vietnam,6c757d,Country: Vietnam
rack-42u,rack-42u,6610f2,Rack Type: Standard 42U
rack-22u,rack-22u,6610f2,Rack Type: Standard 22U
provider,provider,17a2b8,Circuit Provider
circuit-primary,circuit-primary,28a745,Primary Circuit
circuit-backup,circuit-backup,fd7e14,Backup Circuit
