name,manufacturer,device_type,role,site,location,rack,position,face,status,description
EMEA-DC-CLOUD-SRV-B-R02-FPP02,Generic,Fiber Patch Panel 24-Port,Patch Panel,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Server Hall B,EMEA-DC-CLOUD-SRV-B-R02,25,front,active,Fiber patch panel for server connections
EMEA-DC-CLOUD-SRV-B-R03-FPP02,Generic,Fiber Patch Panel 24-Port,Patch Panel,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Server Hall B,EMEA-DC-CLOUD-SRV-B-R03,25,front,active,Fiber patch panel for server connections
EMEA-DC-CLOUD-SRV-B-R04-FPP02,Generic,Fiber Patch Panel 24-Port,Patch Panel,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Server Hall B,EMEA-DC-CLOUD-SRV-B-R04,25,front,active,Fiber patch panel for server connections
EMEA-DC-CLOUD-SRV-B-R05-FPP01,Generic,Fiber Patch Panel 24-Port,Patch Panel,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Server Hall B,EMEA-DC-CLOUD-SRV-B-R05,40,front,active,Fiber patch panel for server connections
EMEA-DC-CLOUD-SRV-B-R06-FPP01,Generic,Fiber Patch Panel 24-Port,Patch Panel,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Server Hall B,EMEA-DC-CLOUD-SRV-B-R06,40,front,active,Fiber patch panel for server connections
EMEA-DC-CLOUD-STG-R01-FPP01,Generic,Fiber Patch Panel 24-Port,Patch Panel,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Storage Room,EMEA-DC-CLOUD-STG-R01,41,front,active,Fiber patch panel for storage connections
EMEA-DC-CLOUD-STG-R02-FPP01,Generic,Fiber Patch Panel 24-Port,Patch Panel,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Storage Room,EMEA-DC-CLOUD-STG-R02,41,front,active,Fiber patch panel for storage connections
EMEA-DC-CLOUD-STG-R03-FPP01,Generic,Fiber Patch Panel 24-Port,Patch Panel,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Storage Room,EMEA-DC-CLOUD-STG-R03,41,front,active,Fiber patch panel for storage connections
EMEA-DC-CLOUD-MMR-R01-CPP01,Generic,Copper Patch Panel 48-Port,Patch Panel,EMEA-DC-CLOUD,EMEA-DC-CLOUD-Meet-Me Room,EMEA-DC-CLOUD-MMR-R01,40,front,active,Copper patch panel for management
EMEA-DC-ONPREM-NET-R01-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Network Core,EMEA-DC-ONPREM-NET-R01,13,front,active,Fiber patch panel for network interconnects
EMEA-DC-ONPREM-NET-R02-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Network Core,EMEA-DC-ONPREM-NET-R02,13,front,active,Fiber patch panel for network interconnects
EMEA-DC-ONPREM-NET-R03-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Network Core,EMEA-DC-ONPREM-NET-R03,13,front,active,Fiber patch panel for network interconnects
EMEA-DC-ONPREM-NET-R04-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Network Core,EMEA-DC-ONPREM-NET-R04,13,front,active,Fiber patch panel for network interconnects
EMEA-DC-ONPREM-SRV-A-R01-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,EMEA-DC-ONPREM-SRV-A-R01,41,front,active,Fiber patch panel for spine switch
EMEA-DC-ONPREM-SRV-A-R02-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,EMEA-DC-ONPREM-SRV-A-R02,41,front,active,Fiber patch panel for spine switch
EMEA-DC-ONPREM-SRV-A-R03-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,EMEA-DC-ONPREM-SRV-A-R03,41,front,active,Fiber patch panel for leaf switch
EMEA-DC-ONPREM-SRV-A-R04-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,EMEA-DC-ONPREM-SRV-A-R04,41,front,active,Fiber patch panel for leaf switch
EMEA-DC-ONPREM-SRV-A-R01-FPP02,Generic,Fiber Patch Panel 24-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,EMEA-DC-ONPREM-SRV-A-R01,25,front,active,Fiber patch panel for server connections
EMEA-DC-ONPREM-SRV-A-R02-FPP02,Generic,Fiber Patch Panel 24-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,EMEA-DC-ONPREM-SRV-A-R02,25,front,active,Fiber patch panel for server connections
EMEA-DC-ONPREM-SRV-A-R03-FPP02,Generic,Fiber Patch Panel 24-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,EMEA-DC-ONPREM-SRV-A-R03,25,front,active,Fiber patch panel for server connections
EMEA-DC-ONPREM-SRV-A-R04-FPP02,Generic,Fiber Patch Panel 24-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,EMEA-DC-ONPREM-SRV-A-R04,25,front,active,Fiber patch panel for server connections
EMEA-DC-ONPREM-SRV-A-R05-FPP01,Generic,Fiber Patch Panel 24-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,EMEA-DC-ONPREM-SRV-A-R05,40,front,active,Fiber patch panel for server connections
EMEA-DC-ONPREM-SRV-A-R06-FPP01,Generic,Fiber Patch Panel 24-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall A,EMEA-DC-ONPREM-SRV-A-R06,40,front,active,Fiber patch panel for server connections
EMEA-DC-ONPREM-SRV-B-R01-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall B,EMEA-DC-ONPREM-SRV-B-R01,41,front,active,Fiber patch panel for spine switch
EMEA-DC-ONPREM-SRV-B-R02-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall B,EMEA-DC-ONPREM-SRV-B-R02,41,front,active,Fiber patch panel for spine switch
EMEA-DC-ONPREM-SRV-B-R03-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall B,EMEA-DC-ONPREM-SRV-B-R03,41,front,active,Fiber patch panel for leaf switch
EMEA-DC-ONPREM-SRV-B-R04-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall B,EMEA-DC-ONPREM-SRV-B-R04,41,front,active,Fiber patch panel for leaf switch
EMEA-DC-ONPREM-SRV-B-R01-FPP02,Generic,Fiber Patch Panel 24-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall B,EMEA-DC-ONPREM-SRV-B-R01,25,front,active,Fiber patch panel for server connections
EMEA-DC-ONPREM-SRV-B-R02-FPP02,Generic,Fiber Patch Panel 24-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall B,EMEA-DC-ONPREM-SRV-B-R02,25,front,active,Fiber patch panel for server connections
EMEA-DC-ONPREM-SRV-B-R03-FPP02,Generic,Fiber Patch Panel 24-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall B,EMEA-DC-ONPREM-SRV-B-R03,25,front,active,Fiber patch panel for server connections
EMEA-DC-ONPREM-SRV-B-R04-FPP02,Generic,Fiber Patch Panel 24-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall B,EMEA-DC-ONPREM-SRV-B-R04,25,front,active,Fiber patch panel for server connections
EMEA-DC-ONPREM-SRV-B-R05-FPP01,Generic,Fiber Patch Panel 24-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall B,EMEA-DC-ONPREM-SRV-B-R05,40,front,active,Fiber patch panel for server connections
EMEA-DC-ONPREM-SRV-B-R06-FPP01,Generic,Fiber Patch Panel 24-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Server Hall B,EMEA-DC-ONPREM-SRV-B-R06,40,front,active,Fiber patch panel for server connections
EMEA-DC-ONPREM-STG-R01-FPP01,Generic,Fiber Patch Panel 24-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Storage Room,EMEA-DC-ONPREM-STG-R01,41,front,active,Fiber patch panel for storage connections
EMEA-DC-ONPREM-STG-R02-FPP01,Generic,Fiber Patch Panel 24-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Storage Room,EMEA-DC-ONPREM-STG-R02,41,front,active,Fiber patch panel for storage connections
EMEA-DC-ONPREM-STG-R03-FPP01,Generic,Fiber Patch Panel 24-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Storage Room,EMEA-DC-ONPREM-STG-R03,41,front,active,Fiber patch panel for storage connections
EMEA-DC-ONPREM-MMR-R01-CPP01,Generic,Copper Patch Panel 48-Port,Patch Panel,EMEA-DC-ONPREM,EMEA-DC-ONPREM-Meet-Me Room,EMEA-DC-ONPREM-MMR-R01,40,front,active,Copper patch panel for management
APAC-DC-CLOUD-NET-R01-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,APAC-DC-CLOUD,APAC-DC-CLOUD-Network Core,APAC-DC-CLOUD-NET-R01,13,front,active,Fiber patch panel for network interconnects
APAC-DC-CLOUD-NET-R02-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,APAC-DC-CLOUD,APAC-DC-CLOUD-Network Core,APAC-DC-CLOUD-NET-R02,13,front,active,Fiber patch panel for network interconnects
APAC-DC-CLOUD-NET-R03-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,APAC-DC-CLOUD,APAC-DC-CLOUD-Network Core,APAC-DC-CLOUD-NET-R03,13,front,active,Fiber patch panel for network interconnects
APAC-DC-CLOUD-NET-R04-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,APAC-DC-CLOUD,APAC-DC-CLOUD-Network Core,APAC-DC-CLOUD-NET-R04,13,front,active,Fiber patch panel for network interconnects
APAC-DC-CLOUD-SRV-A-R01-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,APAC-DC-CLOUD,APAC-DC-CLOUD-Server Hall A,APAC-DC-CLOUD-SRV-A-R01,41,front,active,Fiber patch panel for spine switch
APAC-DC-CLOUD-SRV-A-R02-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,APAC-DC-CLOUD,APAC-DC-CLOUD-Server Hall A,APAC-DC-CLOUD-SRV-A-R02,41,front,active,Fiber patch panel for spine switch
APAC-DC-CLOUD-SRV-A-R03-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,APAC-DC-CLOUD,APAC-DC-CLOUD-Server Hall A,APAC-DC-CLOUD-SRV-A-R03,41,front,active,Fiber patch panel for leaf switch
APAC-DC-CLOUD-SRV-A-R04-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,APAC-DC-CLOUD,APAC-DC-CLOUD-Server Hall A,APAC-DC-CLOUD-SRV-A-R04,41,front,active,Fiber patch panel for leaf switch
APAC-DC-CLOUD-SRV-A-R01-FPP02,Generic,Fiber Patch Panel 24-Port,Patch Panel,APAC-DC-CLOUD,APAC-DC-CLOUD-Server Hall A,APAC-DC-CLOUD-SRV-A-R01,25,front,active,Fiber patch panel for server connections
APAC-DC-CLOUD-SRV-A-R02-FPP02,Generic,Fiber Patch Panel 24-Port,Patch Panel,APAC-DC-CLOUD,APAC-DC-CLOUD-Server Hall A,APAC-DC-CLOUD-SRV-A-R02,25,front,active,Fiber patch panel for server connections
APAC-DC-CLOUD-SRV-A-R03-FPP02,Generic,Fiber Patch Panel 24-Port,Patch Panel,APAC-DC-CLOUD,APAC-DC-CLOUD-Server Hall A,APAC-DC-CLOUD-SRV-A-R03,25,front,active,Fiber patch panel for server connections
APAC-DC-CLOUD-SRV-A-R04-FPP02,Generic,Fiber Patch Panel 24-Port,Patch Panel,APAC-DC-CLOUD,APAC-DC-CLOUD-Server Hall A,APAC-DC-CLOUD-SRV-A-R04,25,front,active,Fiber patch panel for server connections
APAC-DC-CLOUD-SRV-A-R05-FPP01,Generic,Fiber Patch Panel 24-Port,Patch Panel,APAC-DC-CLOUD,APAC-DC-CLOUD-Server Hall A,APAC-DC-CLOUD-SRV-A-R05,40,front,active,Fiber patch panel for server connections
APAC-DC-CLOUD-SRV-A-R06-FPP01,Generic,Fiber Patch Panel 24-Port,Patch Panel,APAC-DC-CLOUD,APAC-DC-CLOUD-Server Hall A,APAC-DC-CLOUD-SRV-A-R06,40,front,active,Fiber patch panel for server connections
APAC-DC-CLOUD-SRV-B-R01-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,APAC-DC-CLOUD,APAC-DC-CLOUD-Server Hall B,APAC-DC-CLOUD-SRV-B-R01,41,front,active,Fiber patch panel for spine switch
APAC-DC-CLOUD-SRV-B-R02-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,APAC-DC-CLOUD,APAC-DC-CLOUD-Server Hall B,APAC-DC-CLOUD-SRV-B-R02,41,front,active,Fiber patch panel for spine switch
APAC-DC-CLOUD-SRV-B-R03-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,APAC-DC-CLOUD,APAC-DC-CLOUD-Server Hall B,APAC-DC-CLOUD-SRV-B-R03,41,front,active,Fiber patch panel for leaf switch
APAC-DC-CLOUD-SRV-B-R04-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,APAC-DC-CLOUD,APAC-DC-CLOUD-Server Hall B,APAC-DC-CLOUD-SRV-B-R04,41,front,active,Fiber patch panel for leaf switch
APAC-DC-CLOUD-SRV-B-R01-FPP02,Generic,Fiber Patch Panel 24-Port,Patch Panel,APAC-DC-CLOUD,APAC-DC-CLOUD-Server Hall B,APAC-DC-CLOUD-SRV-B-R01,25,front,active,Fiber patch panel for server connections
APAC-DC-CLOUD-SRV-B-R02-FPP02,Generic,Fiber Patch Panel 24-Port,Patch Panel,APAC-DC-CLOUD,APAC-DC-CLOUD-Server Hall B,APAC-DC-CLOUD-SRV-B-R02,25,front,active,Fiber patch panel for server connections
APAC-DC-CLOUD-SRV-B-R03-FPP02,Generic,Fiber Patch Panel 24-Port,Patch Panel,APAC-DC-CLOUD,APAC-DC-CLOUD-Server Hall B,APAC-DC-CLOUD-SRV-B-R03,25,front,active,Fiber patch panel for server connections
APAC-DC-CLOUD-SRV-B-R04-FPP02,Generic,Fiber Patch Panel 24-Port,Patch Panel,APAC-DC-CLOUD,APAC-DC-CLOUD-Server Hall B,APAC-DC-CLOUD-SRV-B-R04,25,front,active,Fiber patch panel for server connections
APAC-DC-CLOUD-SRV-B-R05-FPP01,Generic,Fiber Patch Panel 24-Port,Patch Panel,APAC-DC-CLOUD,APAC-DC-CLOUD-Server Hall B,APAC-DC-CLOUD-SRV-B-R05,40,front,active,Fiber patch panel for server connections
APAC-DC-CLOUD-SRV-B-R06-FPP01,Generic,Fiber Patch Panel 24-Port,Patch Panel,APAC-DC-CLOUD,APAC-DC-CLOUD-Server Hall B,APAC-DC-CLOUD-SRV-B-R06,40,front,active,Fiber patch panel for server connections
APAC-DC-CLOUD-STG-R01-FPP01,Generic,Fiber Patch Panel 24-Port,Patch Panel,APAC-DC-CLOUD,APAC-DC-CLOUD-Storage Room,APAC-DC-CLOUD-STG-R01,41,front,active,Fiber patch panel for storage connections
APAC-DC-CLOUD-STG-R02-FPP01,Generic,Fiber Patch Panel 24-Port,Patch Panel,APAC-DC-CLOUD,APAC-DC-CLOUD-Storage Room,APAC-DC-CLOUD-STG-R02,41,front,active,Fiber patch panel for storage connections
APAC-DC-CLOUD-STG-R03-FPP01,Generic,Fiber Patch Panel 24-Port,Patch Panel,APAC-DC-CLOUD,APAC-DC-CLOUD-Storage Room,APAC-DC-CLOUD-STG-R03,41,front,active,Fiber patch panel for storage connections
APAC-DC-CLOUD-MMR-R01-CPP01,Generic,Copper Patch Panel 48-Port,Patch Panel,APAC-DC-CLOUD,APAC-DC-CLOUD-Meet-Me Room,APAC-DC-CLOUD-MMR-R01,40,front,active,Copper patch panel for management
APAC-DC-ONPREM-NET-R01-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,APAC-DC-ONPREM,APAC-DC-ONPREM-Network Core,APAC-DC-ONPREM-NET-R01,13,front,active,Fiber patch panel for network interconnects
APAC-DC-ONPREM-NET-R02-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,APAC-DC-ONPREM,APAC-DC-ONPREM-Network Core,APAC-DC-ONPREM-NET-R02,13,front,active,Fiber patch panel for network interconnects
APAC-DC-ONPREM-NET-R03-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,APAC-DC-ONPREM,APAC-DC-ONPREM-Network Core,APAC-DC-ONPREM-NET-R03,13,front,active,Fiber patch panel for network interconnects
APAC-DC-ONPREM-NET-R04-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,APAC-DC-ONPREM,APAC-DC-ONPREM-Network Core,APAC-DC-ONPREM-NET-R04,13,front,active,Fiber patch panel for network interconnects
APAC-DC-ONPREM-SRV-A-R01-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall A,APAC-DC-ONPREM-SRV-A-R01,41,front,active,Fiber patch panel for spine switch
APAC-DC-ONPREM-SRV-A-R02-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall A,APAC-DC-ONPREM-SRV-A-R02,41,front,active,Fiber patch panel for spine switch
APAC-DC-ONPREM-SRV-A-R03-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall A,APAC-DC-ONPREM-SRV-A-R03,41,front,active,Fiber patch panel for leaf switch
APAC-DC-ONPREM-SRV-A-R04-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall A,APAC-DC-ONPREM-SRV-A-R04,41,front,active,Fiber patch panel for leaf switch
APAC-DC-ONPREM-SRV-A-R01-FPP02,Generic,Fiber Patch Panel 24-Port,Patch Panel,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall A,APAC-DC-ONPREM-SRV-A-R01,25,front,active,Fiber patch panel for server connections
APAC-DC-ONPREM-SRV-A-R02-FPP02,Generic,Fiber Patch Panel 24-Port,Patch Panel,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall A,APAC-DC-ONPREM-SRV-A-R02,25,front,active,Fiber patch panel for server connections
APAC-DC-ONPREM-SRV-A-R03-FPP02,Generic,Fiber Patch Panel 24-Port,Patch Panel,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall A,APAC-DC-ONPREM-SRV-A-R03,25,front,active,Fiber patch panel for server connections
APAC-DC-ONPREM-SRV-A-R04-FPP02,Generic,Fiber Patch Panel 24-Port,Patch Panel,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall A,APAC-DC-ONPREM-SRV-A-R04,25,front,active,Fiber patch panel for server connections
APAC-DC-ONPREM-SRV-A-R05-FPP01,Generic,Fiber Patch Panel 24-Port,Patch Panel,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall A,APAC-DC-ONPREM-SRV-A-R05,40,front,active,Fiber patch panel for server connections
APAC-DC-ONPREM-SRV-A-R06-FPP01,Generic,Fiber Patch Panel 24-Port,Patch Panel,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall A,APAC-DC-ONPREM-SRV-A-R06,40,front,active,Fiber patch panel for server connections
APAC-DC-ONPREM-SRV-B-R01-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall B,APAC-DC-ONPREM-SRV-B-R01,41,front,active,Fiber patch panel for spine switch
APAC-DC-ONPREM-SRV-B-R02-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall B,APAC-DC-ONPREM-SRV-B-R02,41,front,active,Fiber patch panel for spine switch
APAC-DC-ONPREM-SRV-B-R03-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall B,APAC-DC-ONPREM-SRV-B-R03,41,front,active,Fiber patch panel for leaf switch
APAC-DC-ONPREM-SRV-B-R04-FPP01,Generic,Fiber Patch Panel 48-Port,Patch Panel,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall B,APAC-DC-ONPREM-SRV-B-R04,41,front,active,Fiber patch panel for leaf switch
APAC-DC-ONPREM-SRV-B-R01-FPP02,Generic,Fiber Patch Panel 24-Port,Patch Panel,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall B,APAC-DC-ONPREM-SRV-B-R01,25,front,active,Fiber patch panel for server connections
APAC-DC-ONPREM-SRV-B-R02-FPP02,Generic,Fiber Patch Panel 24-Port,Patch Panel,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall B,APAC-DC-ONPREM-SRV-B-R02,25,front,active,Fiber patch panel for server connections
APAC-DC-ONPREM-SRV-B-R03-FPP02,Generic,Fiber Patch Panel 24-Port,Patch Panel,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall B,APAC-DC-ONPREM-SRV-B-R03,25,front,active,Fiber patch panel for server connections
APAC-DC-ONPREM-SRV-B-R04-FPP02,Generic,Fiber Patch Panel 24-Port,Patch Panel,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall B,APAC-DC-ONPREM-SRV-B-R04,25,front,active,Fiber patch panel for server connections
APAC-DC-ONPREM-SRV-B-R05-FPP01,Generic,Fiber Patch Panel 24-Port,Patch Panel,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall B,APAC-DC-ONPREM-SRV-B-R05,40,front,active,Fiber patch panel for server connections
APAC-DC-ONPREM-SRV-B-R06-FPP01,Generic,Fiber Patch Panel 24-Port,Patch Panel,APAC-DC-ONPREM,APAC-DC-ONPREM-Server Hall B,APAC-DC-ONPREM-SRV-B-R06,40,front,active,Fiber patch panel for server connections
