device,device_type,name,type,power_port,feed_leg,description
EMEA-DC-CLOUD-Server-Hall-A-PANEL-A,480V/208V 3-Phase Panel,Circuit-18,nema-l6-30r,,C,Circuit 18
EMEA-DC-CLOUD-Server-Hall-A-PANEL-A,480V/208V 3-Phase Panel,Circuit-19,nema-l6-30r,,A,Circuit 19
EMEA-DC-CLOUD-Server-Hall-A-PANEL-A,480V/208V 3-Phase Panel,Circuit-20,nema-l6-30r,,B,Circuit 20
EMEA-DC-CLOUD-Server-Hall-A-PANEL-A,480V/208V 3-Phase Panel,Circuit-21,nema-l6-30r,,C,Circuit 21
EMEA-DC-CLOUD-Server-Hall-A-PANEL-A,480V/208V 3-Phase Panel,Circuit-22,nema-l6-30r,,A,Circuit 22
EMEA-DC-CLOUD-Server-Hall-A-PANEL-A,480V/208V 3-Phase Panel,Circuit-23,nema-l6-30r,,B,Circuit 23
EMEA-DC-CLOUD-Server-Hall-A-PANEL-A,480V/208V 3-Phase Panel,Circuit-24,nema-l6-30r,,C,Circuit 24
EMEA-DC-CLOUD-Server-Hall-A-PANEL-A,480V/208V 3-Phase Panel,Circuit-25,nema-l6-30r,,A,Circuit 25
EMEA-DC-CLOUD-Server-Hall-A-PANEL-A,480V/208V 3-Phase Panel,Circuit-26,nema-l6-30r,,B,Circuit 26
EMEA-DC-CLOUD-Server-Hall-A-PANEL-A,480V/208V 3-Phase Panel,Circuit-27,nema-l6-30r,,C,Circuit 27
EMEA-DC-CLOUD-Server-Hall-A-PANEL-A,480V/208V 3-Phase Panel,Circuit-28,nema-l6-30r,,A,Circuit 28
EMEA-DC-CLOUD-Server-Hall-A-PANEL-A,480V/208V 3-Phase Panel,Circuit-29,nema-l6-30r,,B,Circuit 29
EMEA-DC-CLOUD-Server-Hall-A-PANEL-A,480V/208V 3-Phase Panel,Circuit-30,nema-l6-30r,,C,Circuit 30
EMEA-DC-CLOUD-Server-Hall-A-PANEL-A,480V/208V 3-Phase Panel,Circuit-31,nema-l6-30r,,A,Circuit 31
EMEA-DC-CLOUD-Server-Hall-A-PANEL-A,480V/208V 3-Phase Panel,Circuit-32,nema-l6-30r,,B,Circuit 32
EMEA-DC-CLOUD-Server-Hall-A-PANEL-A,480V/208V 3-Phase Panel,Circuit-33,nema-l6-30r,,C,Circuit 33
EMEA-DC-CLOUD-Server-Hall-A-PANEL-A,480V/208V 3-Phase Panel,Circuit-34,nema-l6-30r,,A,Circuit 34
EMEA-DC-CLOUD-Server-Hall-A-PANEL-A,480V/208V 3-Phase Panel,Circuit-35,nema-l6-30r,,B,Circuit 35
EMEA-DC-CLOUD-Server-Hall-A-PANEL-A,480V/208V 3-Phase Panel,Circuit-36,nema-l6-30r,,C,Circuit 36
EMEA-DC-CLOUD-Server-Hall-A-PANEL-A,480V/208V 3-Phase Panel,Circuit-37,nema-l6-30r,,A,Circuit 37
EMEA-DC-CLOUD-Server-Hall-A-PANEL-A,480V/208V 3-Phase Panel,Circuit-38,nema-l6-30r,,B,Circuit 38
EMEA-DC-CLOUD-Server-Hall-A-PANEL-A,480V/208V 3-Phase Panel,Circuit-39,nema-l6-30r,,C,Circuit 39
EMEA-DC-CLOUD-Server-Hall-A-PANEL-A,480V/208V 3-Phase Panel,Circuit-40,nema-l6-30r,,A,Circuit 40
EMEA-DC-CLOUD-Server-Hall-A-PANEL-A,480V/208V 3-Phase Panel,Circuit-41,nema-l6-30r,,B,Circuit 41
EMEA-DC-CLOUD-Server-Hall-A-PANEL-A,480V/208V 3-Phase Panel,Circuit-42,nema-l6-30r,,C,Circuit 42
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-01,nema-l6-30r,,A,Circuit 1
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-02,nema-l6-30r,,B,Circuit 2
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-03,nema-l6-30r,,C,Circuit 3
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-04,nema-l6-30r,,A,Circuit 4
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-05,nema-l6-30r,,B,Circuit 5
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-06,nema-l6-30r,,C,Circuit 6
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-07,nema-l6-30r,,A,Circuit 7
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-08,nema-l6-30r,,B,Circuit 8
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-09,nema-l6-30r,,C,Circuit 9
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-10,nema-l6-30r,,A,Circuit 10
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-11,nema-l6-30r,,B,Circuit 11
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-12,nema-l6-30r,,C,Circuit 12
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-13,nema-l6-30r,,A,Circuit 13
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-14,nema-l6-30r,,B,Circuit 14
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-15,nema-l6-30r,,C,Circuit 15
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-16,nema-l6-30r,,A,Circuit 16
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-17,nema-l6-30r,,B,Circuit 17
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-18,nema-l6-30r,,C,Circuit 18
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-19,nema-l6-30r,,A,Circuit 19
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-20,nema-l6-30r,,B,Circuit 20
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-21,nema-l6-30r,,C,Circuit 21
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-22,nema-l6-30r,,A,Circuit 22
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-23,nema-l6-30r,,B,Circuit 23
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-24,nema-l6-30r,,C,Circuit 24
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-25,nema-l6-30r,,A,Circuit 25
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-26,nema-l6-30r,,B,Circuit 26
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-27,nema-l6-30r,,C,Circuit 27
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-28,nema-l6-30r,,A,Circuit 28
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-29,nema-l6-30r,,B,Circuit 29
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-30,nema-l6-30r,,C,Circuit 30
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-31,nema-l6-30r,,A,Circuit 31
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-32,nema-l6-30r,,B,Circuit 32
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-33,nema-l6-30r,,C,Circuit 33
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-34,nema-l6-30r,,A,Circuit 34
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-35,nema-l6-30r,,B,Circuit 35
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-36,nema-l6-30r,,C,Circuit 36
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-37,nema-l6-30r,,A,Circuit 37
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-38,nema-l6-30r,,B,Circuit 38
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-39,nema-l6-30r,,C,Circuit 39
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-40,nema-l6-30r,,A,Circuit 40
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-41,nema-l6-30r,,B,Circuit 41
EMEA-DC-CLOUD-Server-Hall-A-PANEL-B,480V/208V 3-Phase Panel,Circuit-42,nema-l6-30r,,C,Circuit 42
EMEA-DC-CLOUD-Server-Hall-B-PANEL-A,480V/208V 3-Phase Panel,Circuit-01,nema-l6-30r,,A,Circuit 1
EMEA-DC-CLOUD-Server-Hall-B-PANEL-A,480V/208V 3-Phase Panel,Circuit-02,nema-l6-30r,,B,Circuit 2
EMEA-DC-CLOUD-Server-Hall-B-PANEL-A,480V/208V 3-Phase Panel,Circuit-03,nema-l6-30r,,C,Circuit 3
EMEA-DC-CLOUD-Server-Hall-B-PANEL-A,480V/208V 3-Phase Panel,Circuit-04,nema-l6-30r,,A,Circuit 4
EMEA-DC-CLOUD-Server-Hall-B-PANEL-A,480V/208V 3-Phase Panel,Circuit-05,nema-l6-30r,,B,Circuit 5
EMEA-DC-CLOUD-Server-Hall-B-PANEL-A,480V/208V 3-Phase Panel,Circuit-06,nema-l6-30r,,C,Circuit 6
EMEA-DC-CLOUD-Server-Hall-B-PANEL-A,480V/208V 3-Phase Panel,Circuit-07,nema-l6-30r,,A,Circuit 7
EMEA-DC-CLOUD-Server-Hall-B-PANEL-A,480V/208V 3-Phase Panel,Circuit-08,nema-l6-30r,,B,Circuit 8
EMEA-DC-CLOUD-Server-Hall-B-PANEL-A,480V/208V 3-Phase Panel,Circuit-09,nema-l6-30r,,C,Circuit 9
EMEA-DC-CLOUD-Server-Hall-B-PANEL-A,480V/208V 3-Phase Panel,Circuit-10,nema-l6-30r,,A,Circuit 10
EMEA-DC-CLOUD-Server-Hall-B-PANEL-A,480V/208V 3-Phase Panel,Circuit-11,nema-l6-30r,,B,Circuit 11
EMEA-DC-CLOUD-Server-Hall-B-PANEL-A,480V/208V 3-Phase Panel,Circuit-12,nema-l6-30r,,C,Circuit 12
EMEA-DC-CLOUD-Server-Hall-B-PANEL-A,480V/208V 3-Phase Panel,Circuit-13,nema-l6-30r,,A,Circuit 13
EMEA-DC-CLOUD-Server-Hall-B-PANEL-A,480V/208V 3-Phase Panel,Circuit-14,nema-l6-30r,,B,Circuit 14
EMEA-DC-CLOUD-Server-Hall-B-PANEL-A,480V/208V 3-Phase Panel,Circuit-15,nema-l6-30r,,C,Circuit 15
EMEA-DC-CLOUD-Server-Hall-B-PANEL-A,480V/208V 3-Phase Panel,Circuit-16,nema-l6-30r,,A,Circuit 16
EMEA-DC-CLOUD-Server-Hall-B-PANEL-A,480V/208V 3-Phase Panel,Circuit-17,nema-l6-30r,,B,Circuit 17
EMEA-DC-CLOUD-Server-Hall-B-PANEL-A,480V/208V 3-Phase Panel,Circuit-18,nema-l6-30r,,C,Circuit 18
EMEA-DC-CLOUD-Server-Hall-B-PANEL-A,480V/208V 3-Phase Panel,Circuit-19,nema-l6-30r,,A,Circuit 19
EMEA-DC-CLOUD-Server-Hall-B-PANEL-A,480V/208V 3-Phase Panel,Circuit-20,nema-l6-30r,,B,Circuit 20
EMEA-DC-CLOUD-Server-Hall-B-PANEL-A,480V/208V 3-Phase Panel,Circuit-21,nema-l6-30r,,C,Circuit 21
EMEA-DC-CLOUD-Server-Hall-B-PANEL-A,480V/208V 3-Phase Panel,Circuit-22,nema-l6-30r,,A,Circuit 22
EMEA-DC-CLOUD-Server-Hall-B-PANEL-A,480V/208V 3-Phase Panel,Circuit-23,nema-l6-30r,,B,Circuit 23
EMEA-DC-CLOUD-Server-Hall-B-PANEL-A,480V/208V 3-Phase Panel,Circuit-24,nema-l6-30r,,C,Circuit 24
EMEA-DC-CLOUD-Server-Hall-B-PANEL-A,480V/208V 3-Phase Panel,Circuit-25,nema-l6-30r,,A,Circuit 25
EMEA-DC-CLOUD-Server-Hall-B-PANEL-A,480V/208V 3-Phase Panel,Circuit-26,nema-l6-30r,,B,Circuit 26
EMEA-DC-CLOUD-Server-Hall-B-PANEL-A,480V/208V 3-Phase Panel,Circuit-27,nema-l6-30r,,C,Circuit 27
EMEA-DC-CLOUD-Server-Hall-B-PANEL-A,480V/208V 3-Phase Panel,Circuit-28,nema-l6-30r,,A,Circuit 28
EMEA-DC-CLOUD-Server-Hall-B-PANEL-A,480V/208V 3-Phase Panel,Circuit-29,nema-l6-30r,,B,Circuit 29
EMEA-DC-CLOUD-Server-Hall-B-PANEL-A,480V/208V 3-Phase Panel,Circuit-30,nema-l6-30r,,C,Circuit 30
EMEA-DC-CLOUD-Server-Hall-B-PANEL-A,480V/208V 3-Phase Panel,Circuit-31,nema-l6-30r,,A,Circuit 31
EMEA-DC-CLOUD-Server-Hall-B-PANEL-A,480V/208V 3-Phase Panel,Circuit-32,nema-l6-30r,,B,Circuit 32
