device,name,type,maximum_draw,allocated_draw,description
EMEA-DC-ONPREM-SRV-A-R06-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
EMEA-DC-ONPREM-SRV-A-R06-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
EMEA-DC-ONPREM-SRV-B-R01-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
EMEA-DC-ONPREM-SRV-B-R01-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
EMEA-DC-ONPREM-SRV-B-R02-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
EMEA-DC-ONPREM-SRV-B-R02-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
EMEA-DC-ONPREM-SRV-B-R03-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
EMEA-DC-ONPREM-SRV-B-R03-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
EMEA-DC-ONPREM-SRV-B-R04-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
EMEA-DC-ONPREM-SRV-B-R04-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
EMEA-DC-ONPREM-SRV-B-R05-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
EMEA-DC-ONPREM-SRV-B-R05-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
EMEA-DC-ONPREM-SRV-B-R06-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
EMEA-DC-ONPREM-SRV-B-R06-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
EMEA-DC-ONPREM-STG-R01-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
EMEA-DC-ONPREM-STG-R01-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
EMEA-DC-ONPREM-STG-R02-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
EMEA-DC-ONPREM-STG-R02-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
EMEA-DC-ONPREM-STG-R03-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
EMEA-DC-ONPREM-STG-R03-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
EMEA-DC-ONPREM-MMR-R01-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
EMEA-DC-ONPREM-MMR-R01-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
EMEA-DC-ONPREM-MMR-R02-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
EMEA-DC-ONPREM-MMR-R02-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-NET-R01-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-NET-R01-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-NET-R02-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-NET-R02-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-NET-R03-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-NET-R03-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-NET-R04-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-NET-R04-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-SRV-A-R01-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-SRV-A-R01-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-SRV-A-R02-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-SRV-A-R02-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-SRV-A-R03-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-SRV-A-R03-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-SRV-A-R04-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-SRV-A-R04-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-SRV-A-R05-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-SRV-A-R05-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-SRV-A-R06-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-SRV-A-R06-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-SRV-B-R01-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-SRV-B-R01-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-SRV-B-R02-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-SRV-B-R02-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-SRV-B-R03-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-SRV-B-R03-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-SRV-B-R04-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-SRV-B-R04-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-SRV-B-R05-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-SRV-B-R05-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-SRV-B-R06-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-SRV-B-R06-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-STG-R01-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-STG-R01-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-STG-R02-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-STG-R02-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-STG-R03-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-STG-R03-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-MMR-R01-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-MMR-R01-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-MMR-R02-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-CLOUD-MMR-R02-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-NET-R01-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-NET-R01-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-NET-R02-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-NET-R02-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-NET-R03-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-NET-R03-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-NET-R04-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-NET-R04-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-SRV-A-R01-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-SRV-A-R01-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-SRV-A-R02-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-SRV-A-R02-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-SRV-A-R03-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-SRV-A-R03-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-SRV-A-R04-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-SRV-A-R04-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-SRV-A-R05-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-SRV-A-R05-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-SRV-A-R06-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-SRV-A-R06-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-SRV-B-R01-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-SRV-B-R01-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-SRV-B-R02-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-SRV-B-R02-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-SRV-B-R03-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-SRV-B-R03-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-SRV-B-R04-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-SRV-B-R04-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-SRV-B-R05-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-SRV-B-R05-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-SRV-B-R06-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-SRV-B-R06-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-STG-R01-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-STG-R01-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-STG-R02-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-STG-R02-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-STG-R03-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-STG-R03-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-MMR-R01-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-MMR-R01-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-MMR-R02-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
APAC-DC-ONPREM-MMR-R02-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-NET-R01-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-NET-R01-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-NET-R02-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-NET-R02-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-NET-R03-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-NET-R03-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-NET-R04-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-NET-R04-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-SRV-A-R01-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-SRV-A-R01-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-SRV-A-R02-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-SRV-A-R02-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-SRV-A-R03-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-SRV-A-R03-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-SRV-A-R04-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-SRV-A-R04-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-SRV-A-R05-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-SRV-A-R05-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-SRV-A-R06-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-SRV-A-R06-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-SRV-B-R01-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-SRV-B-R01-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-SRV-B-R02-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-SRV-B-R02-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-SRV-B-R03-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-SRV-B-R03-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-SRV-B-R04-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-SRV-B-R04-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-SRV-B-R05-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-SRV-B-R05-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-SRV-B-R06-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-SRV-B-R06-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-STG-R01-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-STG-R01-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-STG-R02-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-STG-R02-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-STG-R03-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-STG-R03-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-MMR-R01-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-MMR-R01-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-MMR-R02-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-CLOUD-MMR-R02-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-NET-R01-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-NET-R01-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-NET-R02-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-NET-R02-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-NET-R03-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-NET-R03-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-NET-R04-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-NET-R04-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-SRV-A-R01-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-SRV-A-R01-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-SRV-A-R02-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-SRV-A-R02-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-SRV-A-R03-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-SRV-A-R03-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-SRV-A-R04-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-SRV-A-R04-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-SRV-A-R05-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-SRV-A-R05-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-SRV-A-R06-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-SRV-A-R06-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-SRV-B-R01-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-SRV-B-R01-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-SRV-B-R02-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-SRV-B-R02-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-SRV-B-R03-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-SRV-B-R03-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-SRV-B-R04-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-SRV-B-R04-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-SRV-B-R05-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-SRV-B-R05-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-SRV-B-R06-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-SRV-B-R06-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-STG-R01-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-STG-R01-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-STG-R02-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-STG-R02-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-STG-R03-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-STG-R03-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-MMR-R01-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-MMR-R01-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-MMR-R02-PDU-A,Power-In,nema-l6-30p,7200,,Input power from electrical panel
AMER-DC-ONPREM-MMR-R02-PDU-B,Power-In,nema-l6-30p,7200,,Input power from electrical panel
