label,type,status,side_a_device,side_a_type,side_a_name,side_b_device,side_b_type,side_b_name,length,length_unit,description
EMEA-DC-ONPREM-SRV-A-R04-PC-0119,power,connected,EMEA-DC-ONPREM-ESX-A06,dcim.powerport,PSU1,EMEA-DC-ONPREM-SRV-A-R04-PDU-A,dcim.poweroutlet,Outlet-02,,,Power cable: EMEA-DC-ONPREM-ESX-A06 PSU1 to EMEA-DC-ONPREM-SRV-A-R04-PDU-A
EMEA-DC-ONPREM-SRV-A-R04-PC-0120,power,connected,EMEA-DC-ONPREM-ESX-A06,dcim.powerport,PSU2,EMEA-DC-ONPREM-SRV-A-R04-PDU-B,dcim.poweroutlet,Outlet-02,,,Power cable: EMEA-DC-ONPREM-ESX-A06 PSU2 to EMEA-DC-ONPREM-SRV-A-R04-PDU-B
EMEA-DC-ONPREM-SRV-B-R01-PC-0121,power,connected,EMEA-DC-ONPREM-SPINE-B01,dcim.powerport,PSU1,EMEA-DC-ONPREM-SRV-B-R01-PDU-A,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-SPINE-B01 PSU1 to EMEA-DC-ONPREM-SRV-B-R01-PDU-A
EMEA-DC-ONPREM-SRV-B-R01-PC-0122,power,connected,EMEA-DC-ONPREM-SPINE-B01,dcim.powerport,PSU2,EMEA-DC-ONPREM-SRV-B-R01-PDU-B,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-SPINE-B01 PSU2 to EMEA-DC-ONPREM-SRV-B-R01-PDU-B
EMEA-DC-ONPREM-SRV-B-R02-PC-0123,power,connected,EMEA-DC-ONPREM-SPINE-B02,dcim.powerport,PSU1,EMEA-DC-ONPREM-SRV-B-R02-PDU-A,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-SPINE-B02 PSU1 to EMEA-DC-ONPREM-SRV-B-R02-PDU-A
EMEA-DC-ONPREM-SRV-B-R02-PC-0124,power,connected,EMEA-DC-ONPREM-SPINE-B02,dcim.powerport,PSU2,EMEA-DC-ONPREM-SRV-B-R02-PDU-B,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-SPINE-B02 PSU2 to EMEA-DC-ONPREM-SRV-B-R02-PDU-B
EMEA-DC-ONPREM-SRV-B-R03-PC-0125,power,connected,EMEA-DC-ONPREM-LEAF-B01,dcim.powerport,PSU1,EMEA-DC-ONPREM-SRV-B-R03-PDU-A,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-LEAF-B01 PSU1 to EMEA-DC-ONPREM-SRV-B-R03-PDU-A
EMEA-DC-ONPREM-SRV-B-R03-PC-0126,power,connected,EMEA-DC-ONPREM-LEAF-B01,dcim.powerport,PSU2,EMEA-DC-ONPREM-SRV-B-R03-PDU-B,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-LEAF-B01 PSU2 to EMEA-DC-ONPREM-SRV-B-R03-PDU-B
EMEA-DC-ONPREM-SRV-B-R04-PC-0127,power,connected,EMEA-DC-ONPREM-LEAF-B02,dcim.powerport,PSU1,EMEA-DC-ONPREM-SRV-B-R04-PDU-A,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-LEAF-B02 PSU1 to EMEA-DC-ONPREM-SRV-B-R04-PDU-A
EMEA-DC-ONPREM-SRV-B-R04-PC-0128,power,connected,EMEA-DC-ONPREM-LEAF-B02,dcim.powerport,PSU2,EMEA-DC-ONPREM-SRV-B-R04-PDU-B,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-LEAF-B02 PSU2 to EMEA-DC-ONPREM-SRV-B-R04-PDU-B
EMEA-DC-ONPREM-SRV-B-R05-PC-0129,power,connected,EMEA-DC-ONPREM-ESX-B01,dcim.powerport,PSU1,EMEA-DC-ONPREM-SRV-B-R05-PDU-A,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-ESX-B01 PSU1 to EMEA-DC-ONPREM-SRV-B-R05-PDU-A
EMEA-DC-ONPREM-SRV-B-R05-PC-0130,power,connected,EMEA-DC-ONPREM-ESX-B01,dcim.powerport,PSU2,EMEA-DC-ONPREM-SRV-B-R05-PDU-B,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-ESX-B01 PSU2 to EMEA-DC-ONPREM-SRV-B-R05-PDU-B
EMEA-DC-ONPREM-SRV-B-R06-PC-0131,power,connected,EMEA-DC-ONPREM-ESX-B02,dcim.powerport,PSU1,EMEA-DC-ONPREM-SRV-B-R06-PDU-A,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-ESX-B02 PSU1 to EMEA-DC-ONPREM-SRV-B-R06-PDU-A
EMEA-DC-ONPREM-SRV-B-R06-PC-0132,power,connected,EMEA-DC-ONPREM-ESX-B02,dcim.powerport,PSU2,EMEA-DC-ONPREM-SRV-B-R06-PDU-B,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-ESX-B02 PSU2 to EMEA-DC-ONPREM-SRV-B-R06-PDU-B
EMEA-DC-ONPREM-SRV-B-R01-PC-0133,power,connected,EMEA-DC-ONPREM-ESX-B03,dcim.powerport,PSU1,EMEA-DC-ONPREM-SRV-B-R01-PDU-A,dcim.poweroutlet,Outlet-02,,,Power cable: EMEA-DC-ONPREM-ESX-B03 PSU1 to EMEA-DC-ONPREM-SRV-B-R01-PDU-A
EMEA-DC-ONPREM-SRV-B-R01-PC-0134,power,connected,EMEA-DC-ONPREM-ESX-B03,dcim.powerport,PSU2,EMEA-DC-ONPREM-SRV-B-R01-PDU-B,dcim.poweroutlet,Outlet-02,,,Power cable: EMEA-DC-ONPREM-ESX-B03 PSU2 to EMEA-DC-ONPREM-SRV-B-R01-PDU-B
EMEA-DC-ONPREM-SRV-B-R02-PC-0135,power,connected,EMEA-DC-ONPREM-ESX-B04,dcim.powerport,PSU1,EMEA-DC-ONPREM-SRV-B-R02-PDU-A,dcim.poweroutlet,Outlet-02,,,Power cable: EMEA-DC-ONPREM-ESX-B04 PSU1 to EMEA-DC-ONPREM-SRV-B-R02-PDU-A
EMEA-DC-ONPREM-SRV-B-R02-PC-0136,power,connected,EMEA-DC-ONPREM-ESX-B04,dcim.powerport,PSU2,EMEA-DC-ONPREM-SRV-B-R02-PDU-B,dcim.poweroutlet,Outlet-02,,,Power cable: EMEA-DC-ONPREM-ESX-B04 PSU2 to EMEA-DC-ONPREM-SRV-B-R02-PDU-B
EMEA-DC-ONPREM-SRV-B-R03-PC-0137,power,connected,EMEA-DC-ONPREM-PHYS-DB01,dcim.powerport,PSU1,EMEA-DC-ONPREM-SRV-B-R03-PDU-A,dcim.poweroutlet,Outlet-02,,,Power cable: EMEA-DC-ONPREM-PHYS-DB01 PSU1 to EMEA-DC-ONPREM-SRV-B-R03-PDU-A
EMEA-DC-ONPREM-SRV-B-R03-PC-0138,power,connected,EMEA-DC-ONPREM-PHYS-DB01,dcim.powerport,PSU2,EMEA-DC-ONPREM-SRV-B-R03-PDU-B,dcim.poweroutlet,Outlet-02,,,Power cable: EMEA-DC-ONPREM-PHYS-DB01 PSU2 to EMEA-DC-ONPREM-SRV-B-R03-PDU-B
EMEA-DC-ONPREM-SRV-B-R04-PC-0139,power,connected,EMEA-DC-ONPREM-PHYS-DB02,dcim.powerport,PSU1,EMEA-DC-ONPREM-SRV-B-R04-PDU-A,dcim.poweroutlet,Outlet-02,,,Power cable: EMEA-DC-ONPREM-PHYS-DB02 PSU1 to EMEA-DC-ONPREM-SRV-B-R04-PDU-A
EMEA-DC-ONPREM-SRV-B-R04-PC-0140,power,connected,EMEA-DC-ONPREM-PHYS-DB02,dcim.powerport,PSU2,EMEA-DC-ONPREM-SRV-B-R04-PDU-B,dcim.poweroutlet,Outlet-02,,,Power cable: EMEA-DC-ONPREM-PHYS-DB02 PSU2 to EMEA-DC-ONPREM-SRV-B-R04-PDU-B
EMEA-DC-ONPREM-STG-R01-PC-0141,power,connected,EMEA-DC-ONPREM-ACC-STG-01,dcim.powerport,PSU1,EMEA-DC-ONPREM-STG-R01-PDU-A,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-ACC-STG-01 PSU1 to EMEA-DC-ONPREM-STG-R01-PDU-A
EMEA-DC-ONPREM-STG-R01-PC-0142,power,connected,EMEA-DC-ONPREM-ACC-STG-01,dcim.powerport,PSU2,EMEA-DC-ONPREM-STG-R01-PDU-B,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-ACC-STG-01 PSU2 to EMEA-DC-ONPREM-STG-R01-PDU-B
EMEA-DC-ONPREM-STG-R02-PC-0143,power,connected,EMEA-DC-ONPREM-ACC-STG-02,dcim.powerport,PSU1,EMEA-DC-ONPREM-STG-R02-PDU-A,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-ACC-STG-02 PSU1 to EMEA-DC-ONPREM-STG-R02-PDU-A
EMEA-DC-ONPREM-STG-R02-PC-0144,power,connected,EMEA-DC-ONPREM-ACC-STG-02,dcim.powerport,PSU2,EMEA-DC-ONPREM-STG-R02-PDU-B,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-ACC-STG-02 PSU2 to EMEA-DC-ONPREM-STG-R02-PDU-B
EMEA-DC-ONPREM-STG-R03-PC-0145,power,connected,EMEA-DC-ONPREM-SAN-01,dcim.powerport,PSU1,EMEA-DC-ONPREM-STG-R03-PDU-A,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-SAN-01 PSU1 to EMEA-DC-ONPREM-STG-R03-PDU-A
EMEA-DC-ONPREM-STG-R03-PC-0146,power,connected,EMEA-DC-ONPREM-SAN-01,dcim.powerport,PSU2,EMEA-DC-ONPREM-STG-R03-PDU-B,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-SAN-01 PSU2 to EMEA-DC-ONPREM-STG-R03-PDU-B
EMEA-DC-ONPREM-STG-R01-PC-0147,power,connected,EMEA-DC-ONPREM-SAN-02,dcim.powerport,PSU1,EMEA-DC-ONPREM-STG-R01-PDU-A,dcim.poweroutlet,Outlet-02,,,Power cable: EMEA-DC-ONPREM-SAN-02 PSU1 to EMEA-DC-ONPREM-STG-R01-PDU-A
EMEA-DC-ONPREM-STG-R01-PC-0148,power,connected,EMEA-DC-ONPREM-SAN-02,dcim.powerport,PSU2,EMEA-DC-ONPREM-STG-R01-PDU-B,dcim.poweroutlet,Outlet-02,,,Power cable: EMEA-DC-ONPREM-SAN-02 PSU2 to EMEA-DC-ONPREM-STG-R01-PDU-B
EMEA-DC-ONPREM-STG-R02-PC-0149,power,connected,EMEA-DC-ONPREM-NAS-01,dcim.powerport,PSU1,EMEA-DC-ONPREM-STG-R02-PDU-A,dcim.poweroutlet,Outlet-02,,,Power cable: EMEA-DC-ONPREM-NAS-01 PSU1 to EMEA-DC-ONPREM-STG-R02-PDU-A
EMEA-DC-ONPREM-STG-R02-PC-0150,power,connected,EMEA-DC-ONPREM-NAS-01,dcim.powerport,PSU2,EMEA-DC-ONPREM-STG-R02-PDU-B,dcim.poweroutlet,Outlet-02,,,Power cable: EMEA-DC-ONPREM-NAS-01 PSU2 to EMEA-DC-ONPREM-STG-R02-PDU-B
EMEA-DC-ONPREM-STG-R03-PC-0151,power,connected,EMEA-DC-ONPREM-NAS-02,dcim.powerport,PSU1,EMEA-DC-ONPREM-STG-R03-PDU-A,dcim.poweroutlet,Outlet-02,,,Power cable: EMEA-DC-ONPREM-NAS-02 PSU1 to EMEA-DC-ONPREM-STG-R03-PDU-A
EMEA-DC-ONPREM-STG-R03-PC-0152,power,connected,EMEA-DC-ONPREM-NAS-02,dcim.powerport,PSU2,EMEA-DC-ONPREM-STG-R03-PDU-B,dcim.poweroutlet,Outlet-02,,,Power cable: EMEA-DC-ONPREM-NAS-02 PSU2 to EMEA-DC-ONPREM-STG-R03-PDU-B
EMEA-DC-ONPREM-MMR-R01-PC-0153,power,connected,EMEA-DC-ONPREM-MMR-SW01,dcim.powerport,PSU1,EMEA-DC-ONPREM-MMR-R01-PDU-A,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-MMR-SW01 PSU1 to EMEA-DC-ONPREM-MMR-R01-PDU-A
EMEA-DC-ONPREM-MMR-R01-PC-0154,power,connected,EMEA-DC-ONPREM-MMR-SW01,dcim.powerport,PSU2,EMEA-DC-ONPREM-MMR-R01-PDU-B,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-MMR-SW01 PSU2 to EMEA-DC-ONPREM-MMR-R01-PDU-B
EMEA-DC-ONPREM-MMR-R02-PC-0155,power,connected,EMEA-DC-ONPREM-OOB-RTR01,dcim.powerport,PSU1,EMEA-DC-ONPREM-MMR-R02-PDU-A,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-OOB-RTR01 PSU1 to EMEA-DC-ONPREM-MMR-R02-PDU-A
EMEA-DC-ONPREM-MMR-R02-PC-0156,power,connected,EMEA-DC-ONPREM-OOB-RTR01,dcim.powerport,PSU2,EMEA-DC-ONPREM-MMR-R02-PDU-B,dcim.poweroutlet,Outlet-01,,,Power cable: EMEA-DC-ONPREM-OOB-RTR01 PSU2 to EMEA-DC-ONPREM-MMR-R02-PDU-B
APAC-DC-ONPREM-NET-R01-PC-0235,power,connected,APAC-DC-ONPREM-CORE-SW01,dcim.powerport,PSU1,APAC-DC-ONPREM-NET-R01-PDU-A,dcim.poweroutlet,Outlet-01,,,Power cable: APAC-DC-ONPREM-CORE-SW01 PSU1 to APAC-DC-ONPREM-NET-R01-PDU-A
