label,type,status,side_a_device,side_a_type,side_a_name,side_b_device,side_b_type,side_b_name,description
EMEA-DC-ONPREM-SRV-A-R02-PDU-A-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Server-Hall-A-FEED-A,dcim.powerfeed,,EMEA-DC-ONPREM-SRV-A-R02-PDU-A,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Server-Hall-A-FEED-A to EMEA-DC-ONPREM-SRV-A-R02-PDU-A Power-In
EMEA-DC-ONPREM-SRV-A-R02-PDU-B-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Server-Hall-A-FEED-B,dcim.powerfeed,,EMEA-DC-ONPREM-SRV-A-R02-PDU-B,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Server-Hall-A-FEED-B to EMEA-DC-ONPREM-SRV-A-R02-PDU-B Power-In
EMEA-DC-ONPREM-SRV-A-R03-PDU-A-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Server-Hall-A-FEED-A,dcim.powerfeed,,EMEA-DC-ONPREM-SRV-A-R03-PDU-A,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Server-Hall-A-FEED-A to EMEA-DC-ONPREM-SRV-A-R03-PDU-A Power-In
EMEA-DC-ONPREM-SRV-A-R03-PDU-B-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Server-Hall-A-FEED-B,dcim.powerfeed,,EMEA-DC-ONPREM-SRV-A-R03-PDU-B,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Server-Hall-A-FEED-B to EMEA-DC-ONPREM-SRV-A-R03-PDU-B Power-In
EMEA-DC-ONPREM-SRV-A-R04-PDU-A-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Server-Hall-A-FEED-A,dcim.powerfeed,,EMEA-DC-ONPREM-SRV-A-R04-PDU-A,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Server-Hall-A-FEED-A to EMEA-DC-ONPREM-SRV-A-R04-PDU-A Power-In
EMEA-DC-ONPREM-SRV-A-R04-PDU-B-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Server-Hall-A-FEED-B,dcim.powerfeed,,EMEA-DC-ONPREM-SRV-A-R04-PDU-B,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Server-Hall-A-FEED-B to EMEA-DC-ONPREM-SRV-A-R04-PDU-B Power-In
EMEA-DC-ONPREM-SRV-A-R05-PDU-A-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Server-Hall-A-FEED-A,dcim.powerfeed,,EMEA-DC-ONPREM-SRV-A-R05-PDU-A,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Server-Hall-A-FEED-A to EMEA-DC-ONPREM-SRV-A-R05-PDU-A Power-In
EMEA-DC-ONPREM-SRV-A-R05-PDU-B-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Server-Hall-A-FEED-B,dcim.powerfeed,,EMEA-DC-ONPREM-SRV-A-R05-PDU-B,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Server-Hall-A-FEED-B to EMEA-DC-ONPREM-SRV-A-R05-PDU-B Power-In
EMEA-DC-ONPREM-SRV-A-R06-PDU-A-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Server-Hall-A-FEED-A,dcim.powerfeed,,EMEA-DC-ONPREM-SRV-A-R06-PDU-A,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Server-Hall-A-FEED-A to EMEA-DC-ONPREM-SRV-A-R06-PDU-A Power-In
EMEA-DC-ONPREM-SRV-A-R06-PDU-B-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Server-Hall-A-FEED-B,dcim.powerfeed,,EMEA-DC-ONPREM-SRV-A-R06-PDU-B,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Server-Hall-A-FEED-B to EMEA-DC-ONPREM-SRV-A-R06-PDU-B Power-In
EMEA-DC-ONPREM-SRV-B-R01-PDU-A-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Server-Hall-B-FEED-A,dcim.powerfeed,,EMEA-DC-ONPREM-SRV-B-R01-PDU-A,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Server-Hall-B-FEED-A to EMEA-DC-ONPREM-SRV-B-R01-PDU-A Power-In
EMEA-DC-ONPREM-SRV-B-R01-PDU-B-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Server-Hall-B-FEED-B,dcim.powerfeed,,EMEA-DC-ONPREM-SRV-B-R01-PDU-B,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Server-Hall-B-FEED-B to EMEA-DC-ONPREM-SRV-B-R01-PDU-B Power-In
EMEA-DC-ONPREM-SRV-B-R02-PDU-A-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Server-Hall-B-FEED-A,dcim.powerfeed,,EMEA-DC-ONPREM-SRV-B-R02-PDU-A,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Server-Hall-B-FEED-A to EMEA-DC-ONPREM-SRV-B-R02-PDU-A Power-In
EMEA-DC-ONPREM-SRV-B-R02-PDU-B-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Server-Hall-B-FEED-B,dcim.powerfeed,,EMEA-DC-ONPREM-SRV-B-R02-PDU-B,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Server-Hall-B-FEED-B to EMEA-DC-ONPREM-SRV-B-R02-PDU-B Power-In
EMEA-DC-ONPREM-SRV-B-R03-PDU-A-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Server-Hall-B-FEED-A,dcim.powerfeed,,EMEA-DC-ONPREM-SRV-B-R03-PDU-A,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Server-Hall-B-FEED-A to EMEA-DC-ONPREM-SRV-B-R03-PDU-A Power-In
EMEA-DC-ONPREM-SRV-B-R03-PDU-B-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Server-Hall-B-FEED-B,dcim.powerfeed,,EMEA-DC-ONPREM-SRV-B-R03-PDU-B,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Server-Hall-B-FEED-B to EMEA-DC-ONPREM-SRV-B-R03-PDU-B Power-In
EMEA-DC-ONPREM-SRV-B-R04-PDU-A-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Server-Hall-B-FEED-A,dcim.powerfeed,,EMEA-DC-ONPREM-SRV-B-R04-PDU-A,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Server-Hall-B-FEED-A to EMEA-DC-ONPREM-SRV-B-R04-PDU-A Power-In
EMEA-DC-ONPREM-SRV-B-R04-PDU-B-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Server-Hall-B-FEED-B,dcim.powerfeed,,EMEA-DC-ONPREM-SRV-B-R04-PDU-B,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Server-Hall-B-FEED-B to EMEA-DC-ONPREM-SRV-B-R04-PDU-B Power-In
EMEA-DC-ONPREM-SRV-B-R05-PDU-A-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Server-Hall-B-FEED-A,dcim.powerfeed,,EMEA-DC-ONPREM-SRV-B-R05-PDU-A,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Server-Hall-B-FEED-A to EMEA-DC-ONPREM-SRV-B-R05-PDU-A Power-In
EMEA-DC-ONPREM-SRV-B-R05-PDU-B-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Server-Hall-B-FEED-B,dcim.powerfeed,,EMEA-DC-ONPREM-SRV-B-R05-PDU-B,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Server-Hall-B-FEED-B to EMEA-DC-ONPREM-SRV-B-R05-PDU-B Power-In
EMEA-DC-ONPREM-SRV-B-R06-PDU-A-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Server-Hall-B-FEED-A,dcim.powerfeed,,EMEA-DC-ONPREM-SRV-B-R06-PDU-A,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Server-Hall-B-FEED-A to EMEA-DC-ONPREM-SRV-B-R06-PDU-A Power-In
EMEA-DC-ONPREM-SRV-B-R06-PDU-B-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Server-Hall-B-FEED-B,dcim.powerfeed,,EMEA-DC-ONPREM-SRV-B-R06-PDU-B,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Server-Hall-B-FEED-B to EMEA-DC-ONPREM-SRV-B-R06-PDU-B Power-In
EMEA-DC-ONPREM-STG-R01-PDU-A-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Storage-Room-FEED-A,dcim.powerfeed,,EMEA-DC-ONPREM-STG-R01-PDU-A,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Storage-Room-FEED-A to EMEA-DC-ONPREM-STG-R01-PDU-A Power-In
EMEA-DC-ONPREM-STG-R01-PDU-B-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Storage-Room-FEED-B,dcim.powerfeed,,EMEA-DC-ONPREM-STG-R01-PDU-B,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Storage-Room-FEED-B to EMEA-DC-ONPREM-STG-R01-PDU-B Power-In
EMEA-DC-ONPREM-STG-R02-PDU-A-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Storage-Room-FEED-A,dcim.powerfeed,,EMEA-DC-ONPREM-STG-R02-PDU-A,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Storage-Room-FEED-A to EMEA-DC-ONPREM-STG-R02-PDU-A Power-In
EMEA-DC-ONPREM-STG-R02-PDU-B-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Storage-Room-FEED-B,dcim.powerfeed,,EMEA-DC-ONPREM-STG-R02-PDU-B,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Storage-Room-FEED-B to EMEA-DC-ONPREM-STG-R02-PDU-B Power-In
EMEA-DC-ONPREM-STG-R03-PDU-A-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Storage-Room-FEED-A,dcim.powerfeed,,EMEA-DC-ONPREM-STG-R03-PDU-A,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Storage-Room-FEED-A to EMEA-DC-ONPREM-STG-R03-PDU-A Power-In
EMEA-DC-ONPREM-STG-R03-PDU-B-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Storage-Room-FEED-B,dcim.powerfeed,,EMEA-DC-ONPREM-STG-R03-PDU-B,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Storage-Room-FEED-B to EMEA-DC-ONPREM-STG-R03-PDU-B Power-In
EMEA-DC-ONPREM-MMR-R01-PDU-A-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Meet-Me-Room-FEED-A,dcim.powerfeed,,EMEA-DC-ONPREM-MMR-R01-PDU-A,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Meet-Me-Room-FEED-A to EMEA-DC-ONPREM-MMR-R01-PDU-A Power-In
EMEA-DC-ONPREM-MMR-R01-PDU-B-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Meet-Me-Room-FEED-B,dcim.powerfeed,,EMEA-DC-ONPREM-MMR-R01-PDU-B,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Meet-Me-Room-FEED-B to EMEA-DC-ONPREM-MMR-R01-PDU-B Power-In
EMEA-DC-ONPREM-MMR-R02-PDU-A-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Meet-Me-Room-FEED-A,dcim.powerfeed,,EMEA-DC-ONPREM-MMR-R02-PDU-A,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Meet-Me-Room-FEED-A to EMEA-DC-ONPREM-MMR-R02-PDU-A Power-In
EMEA-DC-ONPREM-MMR-R02-PDU-B-POWER-FEED-CABLE,power,connected,EMEA-DC-ONPREM-Meet-Me-Room-FEED-B,dcim.powerfeed,,EMEA-DC-ONPREM-MMR-R02-PDU-B,dcim.powerport,Power-In,Power feed cable from EMEA-DC-ONPREM-Meet-Me-Room-FEED-B to EMEA-DC-ONPREM-MMR-R02-PDU-B Power-In
APAC-DC-ONPREM-NET-R01-PDU-A-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Network-Core-FEED-A,dcim.powerfeed,,APAC-DC-ONPREM-NET-R01-PDU-A,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Network-Core-FEED-A to APAC-DC-ONPREM-NET-R01-PDU-A Power-In
APAC-DC-ONPREM-NET-R01-PDU-B-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Network-Core-FEED-B,dcim.powerfeed,,APAC-DC-ONPREM-NET-R01-PDU-B,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Network-Core-FEED-B to APAC-DC-ONPREM-NET-R01-PDU-B Power-In
APAC-DC-ONPREM-NET-R02-PDU-A-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Network-Core-FEED-A,dcim.powerfeed,,APAC-DC-ONPREM-NET-R02-PDU-A,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Network-Core-FEED-A to APAC-DC-ONPREM-NET-R02-PDU-A Power-In
APAC-DC-ONPREM-NET-R02-PDU-B-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Network-Core-FEED-B,dcim.powerfeed,,APAC-DC-ONPREM-NET-R02-PDU-B,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Network-Core-FEED-B to APAC-DC-ONPREM-NET-R02-PDU-B Power-In
APAC-DC-ONPREM-NET-R03-PDU-A-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Network-Core-FEED-A,dcim.powerfeed,,APAC-DC-ONPREM-NET-R03-PDU-A,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Network-Core-FEED-A to APAC-DC-ONPREM-NET-R03-PDU-A Power-In
APAC-DC-ONPREM-NET-R03-PDU-B-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Network-Core-FEED-B,dcim.powerfeed,,APAC-DC-ONPREM-NET-R03-PDU-B,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Network-Core-FEED-B to APAC-DC-ONPREM-NET-R03-PDU-B Power-In
APAC-DC-ONPREM-NET-R04-PDU-A-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Network-Core-FEED-A,dcim.powerfeed,,APAC-DC-ONPREM-NET-R04-PDU-A,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Network-Core-FEED-A to APAC-DC-ONPREM-NET-R04-PDU-A Power-In
APAC-DC-ONPREM-NET-R04-PDU-B-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Network-Core-FEED-B,dcim.powerfeed,,APAC-DC-ONPREM-NET-R04-PDU-B,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Network-Core-FEED-B to APAC-DC-ONPREM-NET-R04-PDU-B Power-In
APAC-DC-ONPREM-SRV-A-R01-PDU-A-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Server-Hall-A-FEED-A,dcim.powerfeed,,APAC-DC-ONPREM-SRV-A-R01-PDU-A,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Server-Hall-A-FEED-A to APAC-DC-ONPREM-SRV-A-R01-PDU-A Power-In
APAC-DC-ONPREM-SRV-A-R01-PDU-B-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Server-Hall-A-FEED-B,dcim.powerfeed,,APAC-DC-ONPREM-SRV-A-R01-PDU-B,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Server-Hall-A-FEED-B to APAC-DC-ONPREM-SRV-A-R01-PDU-B Power-In
APAC-DC-ONPREM-SRV-A-R02-PDU-A-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Server-Hall-A-FEED-A,dcim.powerfeed,,APAC-DC-ONPREM-SRV-A-R02-PDU-A,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Server-Hall-A-FEED-A to APAC-DC-ONPREM-SRV-A-R02-PDU-A Power-In
APAC-DC-ONPREM-SRV-A-R02-PDU-B-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Server-Hall-A-FEED-B,dcim.powerfeed,,APAC-DC-ONPREM-SRV-A-R02-PDU-B,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Server-Hall-A-FEED-B to APAC-DC-ONPREM-SRV-A-R02-PDU-B Power-In
APAC-DC-ONPREM-SRV-A-R03-PDU-A-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Server-Hall-A-FEED-A,dcim.powerfeed,,APAC-DC-ONPREM-SRV-A-R03-PDU-A,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Server-Hall-A-FEED-A to APAC-DC-ONPREM-SRV-A-R03-PDU-A Power-In
APAC-DC-ONPREM-SRV-A-R03-PDU-B-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Server-Hall-A-FEED-B,dcim.powerfeed,,APAC-DC-ONPREM-SRV-A-R03-PDU-B,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Server-Hall-A-FEED-B to APAC-DC-ONPREM-SRV-A-R03-PDU-B Power-In
APAC-DC-ONPREM-SRV-A-R04-PDU-A-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Server-Hall-A-FEED-A,dcim.powerfeed,,APAC-DC-ONPREM-SRV-A-R04-PDU-A,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Server-Hall-A-FEED-A to APAC-DC-ONPREM-SRV-A-R04-PDU-A Power-In
APAC-DC-ONPREM-SRV-A-R04-PDU-B-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Server-Hall-A-FEED-B,dcim.powerfeed,,APAC-DC-ONPREM-SRV-A-R04-PDU-B,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Server-Hall-A-FEED-B to APAC-DC-ONPREM-SRV-A-R04-PDU-B Power-In
APAC-DC-ONPREM-SRV-A-R05-PDU-A-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Server-Hall-A-FEED-A,dcim.powerfeed,,APAC-DC-ONPREM-SRV-A-R05-PDU-A,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Server-Hall-A-FEED-A to APAC-DC-ONPREM-SRV-A-R05-PDU-A Power-In
APAC-DC-ONPREM-SRV-A-R05-PDU-B-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Server-Hall-A-FEED-B,dcim.powerfeed,,APAC-DC-ONPREM-SRV-A-R05-PDU-B,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Server-Hall-A-FEED-B to APAC-DC-ONPREM-SRV-A-R05-PDU-B Power-In
APAC-DC-ONPREM-SRV-A-R06-PDU-A-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Server-Hall-A-FEED-A,dcim.powerfeed,,APAC-DC-ONPREM-SRV-A-R06-PDU-A,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Server-Hall-A-FEED-A to APAC-DC-ONPREM-SRV-A-R06-PDU-A Power-In
APAC-DC-ONPREM-SRV-A-R06-PDU-B-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Server-Hall-A-FEED-B,dcim.powerfeed,,APAC-DC-ONPREM-SRV-A-R06-PDU-B,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Server-Hall-A-FEED-B to APAC-DC-ONPREM-SRV-A-R06-PDU-B Power-In
APAC-DC-ONPREM-SRV-B-R01-PDU-A-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Server-Hall-B-FEED-A,dcim.powerfeed,,APAC-DC-ONPREM-SRV-B-R01-PDU-A,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Server-Hall-B-FEED-A to APAC-DC-ONPREM-SRV-B-R01-PDU-A Power-In
APAC-DC-ONPREM-SRV-B-R01-PDU-B-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Server-Hall-B-FEED-B,dcim.powerfeed,,APAC-DC-ONPREM-SRV-B-R01-PDU-B,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Server-Hall-B-FEED-B to APAC-DC-ONPREM-SRV-B-R01-PDU-B Power-In
APAC-DC-ONPREM-SRV-B-R02-PDU-A-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Server-Hall-B-FEED-A,dcim.powerfeed,,APAC-DC-ONPREM-SRV-B-R02-PDU-A,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Server-Hall-B-FEED-A to APAC-DC-ONPREM-SRV-B-R02-PDU-A Power-In
APAC-DC-ONPREM-SRV-B-R02-PDU-B-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Server-Hall-B-FEED-B,dcim.powerfeed,,APAC-DC-ONPREM-SRV-B-R02-PDU-B,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Server-Hall-B-FEED-B to APAC-DC-ONPREM-SRV-B-R02-PDU-B Power-In
APAC-DC-ONPREM-SRV-B-R03-PDU-A-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Server-Hall-B-FEED-A,dcim.powerfeed,,APAC-DC-ONPREM-SRV-B-R03-PDU-A,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Server-Hall-B-FEED-A to APAC-DC-ONPREM-SRV-B-R03-PDU-A Power-In
APAC-DC-ONPREM-SRV-B-R03-PDU-B-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Server-Hall-B-FEED-B,dcim.powerfeed,,APAC-DC-ONPREM-SRV-B-R03-PDU-B,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Server-Hall-B-FEED-B to APAC-DC-ONPREM-SRV-B-R03-PDU-B Power-In
APAC-DC-ONPREM-SRV-B-R04-PDU-A-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Server-Hall-B-FEED-A,dcim.powerfeed,,APAC-DC-ONPREM-SRV-B-R04-PDU-A,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Server-Hall-B-FEED-A to APAC-DC-ONPREM-SRV-B-R04-PDU-A Power-In
APAC-DC-ONPREM-SRV-B-R04-PDU-B-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Server-Hall-B-FEED-B,dcim.powerfeed,,APAC-DC-ONPREM-SRV-B-R04-PDU-B,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Server-Hall-B-FEED-B to APAC-DC-ONPREM-SRV-B-R04-PDU-B Power-In
APAC-DC-ONPREM-SRV-B-R05-PDU-A-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Server-Hall-B-FEED-A,dcim.powerfeed,,APAC-DC-ONPREM-SRV-B-R05-PDU-A,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Server-Hall-B-FEED-A to APAC-DC-ONPREM-SRV-B-R05-PDU-A Power-In
APAC-DC-ONPREM-SRV-B-R05-PDU-B-POWER-FEED-CABLE,power,connected,APAC-DC-ONPREM-Server-Hall-B-FEED-B,dcim.powerfeed,,APAC-DC-ONPREM-SRV-B-R05-PDU-B,dcim.powerport,Power-In,Power feed cable from APAC-DC-ONPREM-Server-Hall-B-FEED-B to APAC-DC-ONPREM-SRV-B-R05-PDU-B Power-In
