name,slug,status,region,description,tags
VN-Agency2,vn-agency2,active,Vietnam,Agency 2 - VN - Socialist Republic of Vietnam,"apac,vietnam,agency"
PH-Agency1,ph-agency1,active,Philippines,Agency 1 - PH - Republic of the Philippines,"apac,philippines,agency"
PH-Agency2,ph-agency2,active,Philippines,Agency 2 - PH - Republic of the Philippines,"apac,philippines,agency"
MM-Agency1,mm-agency1,active,Myanmar,Agency 1 - MM - Republic of the Union of Myanmar,"apac,myanmar,agency"
MM-Agency2,mm-agency2,active,Myanmar,Agency 2 - MM - Republic of the Union of Myanmar,"apac,myanmar,agency"
KH-Agency1,kh-agency1,active,Cambodia,Agency 1 - KH - Kingdom of Cambodia,"apac,cambodia,agency"
KH-Agency2,kh-agency2,active,Cambodia,Agency 2 - KH - Kingdom of Cambodia,"apac,cambodia,agency"
LA-Agency1,la-agency1,active,Laos,Agency 1 - LA - Lao People's Democratic Republic,"apac,laos,agency"
LA-Agency2,la-agency2,active,Laos,Agency 2 - LA - Lao People's Democratic Republic,"apac,laos,agency"
BN-Agency1,bn-agency1,active,Brunei,Agency 1 - BN - Brunei Darussalam,"apac,brunei,agency"
BN-Agency2,bn-agency2,active,Brunei,Agency 2 - BN - Brunei Darussalam,"apac,brunei,agency"
TL-Agency1,tl-agency1,active,Timor-Leste,Agency 1 - TL - Democratic Republic of Timor-Leste,"apac,timor-leste,agency"
TL-Agency2,tl-agency2,active,Timor-Leste,Agency 2 - TL - Democratic Republic of Timor-Leste,"apac,timor-leste,agency"
IN-Agency1,in-agency1,active,India,Agency 1 - IN - Republic of India,"apac,india,agency"
IN-Agency2,in-agency2,active,India,Agency 2 - IN - Republic of India,"apac,india,agency"
PK-Agency1,pk-agency1,active,Pakistan,Agency 1 - PK - Islamic Republic of Pakistan,"apac,pakistan,agency"
PK-Agency2,pk-agency2,active,Pakistan,Agency 2 - PK - Islamic Republic of Pakistan,"apac,pakistan,agency"
BD-Agency1,bd-agency1,active,Bangladesh,Agency 1 - BD - People's Republic of Bangladesh,"apac,bangladesh,agency"
BD-Agency2,bd-agency2,active,Bangladesh,Agency 2 - BD - People's Republic of Bangladesh,"apac,bangladesh,agency"
LK-Agency1,lk-agency1,active,Sri Lanka,Agency 1 - LK - Democratic Socialist Republic of Sri Lanka,"apac,sri-lanka,agency"
LK-Agency2,lk-agency2,active,Sri Lanka,Agency 2 - LK - Democratic Socialist Republic of Sri Lanka,"apac,sri-lanka,agency"
NP-Agency1,np-agency1,active,Nepal,Agency 1 - NP - Federal Democratic Republic of Nepal,"apac,nepal,agency"
NP-Agency2,np-agency2,active,Nepal,Agency 2 - NP - Federal Democratic Republic of Nepal,"apac,nepal,agency"
BT-Agency1,bt-agency1,active,Bhutan,Agency 1 - BT - Kingdom of Bhutan,"apac,bhutan,agency"
BT-Agency2,bt-agency2,active,Bhutan,Agency 2 - BT - Kingdom of Bhutan,"apac,bhutan,agency"
MV-Agency1,mv-agency1,active,Maldives,Agency 1 - MV - Republic of Maldives,"apac,maldives,agency"
MV-Agency2,mv-agency2,active,Maldives,Agency 2 - MV - Republic of Maldives,"apac,maldives,agency"
AF-Agency1,af-agency1,active,Afghanistan,Agency 1 - AF - Islamic Republic of Afghanistan,"apac,afghanistan,agency"
AF-Agency2,af-agency2,active,Afghanistan,Agency 2 - AF - Islamic Republic of Afghanistan,"apac,afghanistan,agency"
AU-Agency1,au-agency1,active,Australia,Agency 1 - AU - Commonwealth of Australia,"apac,australia,agency"
AU-Agency2,au-agency2,active,Australia,Agency 2 - AU - Commonwealth of Australia,"apac,australia,agency"
NZ-Agency1,nz-agency1,active,New Zealand,Agency 1 - NZ - New Zealand,"apac,new-zealand,agency"
NZ-Agency2,nz-agency2,active,New Zealand,Agency 2 - NZ - New Zealand,"apac,new-zealand,agency"
PG-Agency1,pg-agency1,active,Papua New Guinea,Agency 1 - PG - Independent State of Papua New Guinea,"apac,papua-new-guinea,agency"
PG-Agency2,pg-agency2,active,Papua New Guinea,Agency 2 - PG - Independent State of Papua New Guinea,"apac,papua-new-guinea,agency"
FJ-Agency1,fj-agency1,active,Fiji,Agency 1 - FJ - Republic of Fiji,"apac,fiji,agency"
FJ-Agency2,fj-agency2,active,Fiji,Agency 2 - FJ - Republic of Fiji,"apac,fiji,agency"
WS-Agency1,ws-agency1,active,Samoa,Agency 1 - WS - Independent State of Samoa,"apac,samoa,agency"
WS-Agency2,ws-agency2,active,Samoa,Agency 2 - WS - Independent State of Samoa,"apac,samoa,agency"
TO-Agency1,to-agency1,active,Tonga,Agency 1 - TO - Kingdom of Tonga,"apac,tonga,agency"
TO-Agency2,to-agency2,active,Tonga,Agency 2 - TO - Kingdom of Tonga,"apac,tonga,agency"
VU-Agency1,vu-agency1,active,Vanuatu,Agency 1 - VU - Republic of Vanuatu,"apac,vanuatu,agency"
VU-Agency2,vu-agency2,active,Vanuatu,Agency 2 - VU - Republic of Vanuatu,"apac,vanuatu,agency"
SB-Agency1,sb-agency1,active,Solomon Islands,Agency 1 - SB - Solomon Islands,"apac,solomon-islands,agency"
SB-Agency2,sb-agency2,active,Solomon Islands,Agency 2 - SB - Solomon Islands,"apac,solomon-islands,agency"
NC-Agency1,nc-agency1,active,New Caledonia,Agency 1 - NC - New Caledonia,"apac,new-caledonia,agency"
NC-Agency2,nc-agency2,active,New Caledonia,Agency 2 - NC - New Caledonia,"apac,new-caledonia,agency"
PF-Agency1,pf-agency1,active,French Polynesia,Agency 1 - PF - French Polynesia,"apac,french-polynesia,agency"
PF-Agency2,pf-agency2,active,French Polynesia,Agency 2 - PF - French Polynesia,"apac,french-polynesia,agency"
GU-Agency1,gu-agency1,active,Guam,Agency 1 - GU - Guam,"apac,guam,agency"
GU-Agency2,gu-agency2,active,Guam,Agency 2 - GU - Guam,"apac,guam,agency"
PW-Agency1,pw-agency1,active,Palau,Agency 1 - PW - Republic of Palau,"apac,palau,agency"
PW-Agency2,pw-agency2,active,Palau,Agency 2 - PW - Republic of Palau,"apac,palau,agency"
FM-Agency1,fm-agency1,active,Micronesia,Agency 1 - FM - Federated States of Micronesia,"apac,micronesia,agency"
FM-Agency2,fm-agency2,active,Micronesia,Agency 2 - FM - Federated States of Micronesia,"apac,micronesia,agency"
MH-Agency1,mh-agency1,active,Marshall Islands,Agency 1 - MH - Republic of the Marshall Islands,"apac,marshall-islands,agency"
MH-Agency2,mh-agency2,active,Marshall Islands,Agency 2 - MH - Republic of the Marshall Islands,"apac,marshall-islands,agency"
KI-Agency1,ki-agency1,active,Kiribati,Agency 1 - KI - Republic of Kiribati,"apac,kiribati,agency"
KI-Agency2,ki-agency2,active,Kiribati,Agency 2 - KI - Republic of Kiribati,"apac,kiribati,agency"
NR-Agency1,nr-agency1,active,Nauru,Agency 1 - NR - Republic of Nauru,"apac,nauru,agency"
NR-Agency2,nr-agency2,active,Nauru,Agency 2 - NR - Republic of Nauru,"apac,nauru,agency"
TV-Agency1,tv-agency1,active,Tuvalu,Agency 1 - TV - Tuvalu,"apac,tuvalu,agency"
TV-Agency2,tv-agency2,active,Tuvalu,Agency 2 - TV - Tuvalu,"apac,tuvalu,agency"
KZ-Agency1,kz-agency1,active,Kazakhstan,Agency 1 - KZ - Republic of Kazakhstan,"apac,kazakhstan,agency"
KZ-Agency2,kz-agency2,active,Kazakhstan,Agency 2 - KZ - Republic of Kazakhstan,"apac,kazakhstan,agency"
UZ-Agency1,uz-agency1,active,Uzbekistan,Agency 1 - UZ - Republic of Uzbekistan,"apac,uzbekistan,agency"
UZ-Agency2,uz-agency2,active,Uzbekistan,Agency 2 - UZ - Republic of Uzbekistan,"apac,uzbekistan,agency"
TM-Agency1,tm-agency1,active,Turkmenistan,Agency 1 - TM - Turkmenistan,"apac,turkmenistan,agency"
TM-Agency2,tm-agency2,active,Turkmenistan,Agency 2 - TM - Turkmenistan,"apac,turkmenistan,agency"
KG-Agency1,kg-agency1,active,Kyrgyzstan,Agency 1 - KG - Kyrgyz Republic,"apac,kyrgyzstan,agency"
KG-Agency2,kg-agency2,active,Kyrgyzstan,Agency 2 - KG - Kyrgyz Republic,"apac,kyrgyzstan,agency"
TJ-Agency1,tj-agency1,active,Tajikistan,Agency 1 - TJ - Republic of Tajikistan,"apac,tajikistan,agency"
TJ-Agency2,tj-agency2,active,Tajikistan,Agency 2 - TJ - Republic of Tajikistan,"apac,tajikistan,agency"
